,DUALEM,OpenEM,X1,X2,Y1,Y2
36,2.47298,8.24506,150.662325,150.662325,-34.024655,-34.024655
37,2.42679,8.23404,150.662335,150.662335,-34.024655,-34.024655
38,2.39162,8.22586,150.662345,150.662345,-34.024655,-34.024655
39,2.36122,8.22083,150.662355,150.662355,-34.024655,-34.024655
40,2.33072,8.2195,150.662365,150.662365,-34.024655,-34.024655
41,2.29741,8.22186,150.662375,150.662375,-34.024655,-34.024655
42,2.26099,8.22694,150.662385,150.662385,-34.024655,-34.024655
43,2.22247,8.2333,150.662395,150.662395,-34.024655,-34.024655
44,2.18351,8.23988,150.662405,150.662405,-34.024655,-34.024655
45,2.14671,8.24598,150.662415,150.662415,-34.024655,-34.024655
46,2.11499,8.25045,150.662425,150.662425,-34.024655,-34.024655
47,2.09001,8.25042,150.662435,150.662435,-34.024655,-34.024655
48,2.71509,8.51246,150.662205,150.662205,-34.024665,-34.024665
49,2.81286,8.47849,150.662215,150.662215,-34.024665,-34.024665
50,2.96112,8.4448,150.662225,150.662225,-34.024665,-34.024665
51,3.19127,8.41172,150.662235,150.662235,-34.024665,-34.024665
52,3.52467,8.37951,150.662245,150.662245,-34.024665,-34.024665
53,3.85177,8.34832,150.662255,150.662255,-34.024665,-34.024665
54,3.84227,8.3181,150.662265,150.662265,-34.024665,-34.024665
55,3.46938,8.28876,150.662275,150.662275,-34.024665,-34.024665
56,3.08024,8.26038,150.662285,150.662285,-34.024665,-34.024665
57,2.81346,8.23357,150.662295,150.662295,-34.024665,-34.024665
58,2.64736,8.20957,150.662305,150.662305,-34.024665,-34.024665
59,2.54405,8.18964,150.662315,150.662315,-34.024665,-34.024665
60,2.47849,8.17405,150.662325,150.662325,-34.024665,-34.024665
61,2.43578,8.16183,150.662335,150.662335,-34.024665,-34.024665
62,2.40604,8.15209,150.662345,150.662345,-34.024665,-34.024665
63,2.38072,8.14556,150.662355,150.662355,-34.024665,-34.024665
64,2.35183,8.14418,150.662365,150.662365,-34.024665,-34.024665
65,2.31518,8.1487,150.662375,150.662375,-34.024665,-34.024665
66,2.27212,8.15719,150.662385,150.662385,-34.024665,-34.024665
67,2.22503,8.16667,150.662395,150.662395,-34.024665,-34.024665
68,2.17529,8.17556,150.662405,150.662405,-34.024665,-34.024665
69,2.12734,8.18416,150.662415,150.662415,-34.024665,-34.024665
70,2.08788,8.19251,150.662425,150.662425,-34.024665,-34.024665
71,2.06026,8.19771,150.662435,150.662435,-34.024665,-34.024665
72,2.04293,8.19228,150.662445,150.662445,-34.024665,-34.024665
73,2.0322,8.16356,150.662455,150.662455,-34.024665,-34.024665
74,2.02474,8.09628,150.662465,150.662465,-34.024665,-34.024665
75,2.0184,7.99236,150.662475,150.662475,-34.024665,-34.024665
76,2.01203,7.92535,150.662485,150.662485,-34.024665,-34.024665
77,2.00517,7.99399,150.662495,150.662495,-34.024665,-34.024665
78,1.99783,8.1298,150.662505,150.662505,-34.024665,-34.024665
79,1.99025,8.21429,150.662515,150.662515,-34.024665,-34.024665
80,2.65034,8.51413,150.662195,150.662195,-34.024675,-34.024675
81,2.71606,8.47675,150.662205,150.662205,-34.024675,-34.024675
82,2.81208,8.43917,150.662215,150.662215,-34.024675,-34.024675
83,2.96027,8.40181,150.662225,150.662225,-34.024675,-34.024675
84,3.2014,8.3651,150.662235,150.662235,-34.024675,-34.024675
85,3.5844,8.32944,150.662245,150.662245,-34.024675,-34.024675
86,4.00967,8.29503,150.662255,150.662255,-34.024675,-34.024675
87,4.0061,8.26166,150.662265,150.662265,-34.024675,-34.024675
88,3.5332,8.22878,150.662275,150.662275,-34.024675,-34.024675
89,3.08645,8.19592,150.662285,150.662285,-34.024675,-34.024675
90,2.80377,8.1637,150.662295,150.662295,-34.024675,-34.024675
91,2.63669,8.13442,150.662305,150.662305,-34.024675,-34.024675
92,2.53719,8.1111,150.662315,150.662315,-34.024675,-34.024675
93,2.47776,8.09453,150.662325,150.662325,-34.024675,-34.024675
94,2.44357,8.08171,150.662335,150.662335,-34.024675,-34.024675
95,2.42535,8.06922,150.662345,150.662345,-34.024675,-34.024675
96,2.41243,8.05856,150.662355,150.662355,-34.024675,-34.024675
97,2.38867,8.05578,150.662365,150.662365,-34.024675,-34.024675
98,2.34518,8.06412,150.662375,150.662375,-34.024675,-34.024675
99,2.29174,8.07907,150.662385,150.662385,-34.024675,-34.024675
100,2.23435,8.09319,150.662395,150.662395,-34.024675,-34.024675
101,2.16703,8.10379,150.662405,150.662405,-34.024675,-34.024675
102,2.09774,8.11385,150.662415,150.662415,-34.024675,-34.024675
103,2.04522,8.12685,150.662425,150.662425,-34.024675,-34.024675
104,2.0161,8.14106,150.662435,150.662435,-34.024675,-34.024675
105,2.00376,8.14741,150.662445,150.662445,-34.024675,-34.024675
106,1.99943,8.12995,150.662455,150.662455,-34.024675,-34.024675
107,1.99747,8.06738,150.662465,150.662465,-34.024675,-34.024675
108,1.99511,7.95138,150.662475,150.662475,-34.024675,-34.024675
109,1.99125,7.86497,150.662485,150.662485,-34.024675,-34.024675
110,1.9857,7.94719,150.662495,150.662495,-34.024675,-34.024675
111,1.97876,8.10731,150.662505,150.662505,-34.024675,-34.024675
112,1.97099,8.20314,150.662515,150.662515,-34.024675,-34.024675
113,1.96304,8.19917,150.662525,150.662525,-34.024675,-34.024675
114,1.95556,8.12926,150.662535,150.662535,-34.024675,-34.024675
115,1.94914,8.12463,150.662545,150.662545,-34.024675,-34.024675
116,1.94425,8.22628,150.662555,150.662555,-34.024675,-34.024675
117,1.94125,8.31938,150.662565,150.662565,-34.024675,-34.024675
