,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,Between
104,419,150.6626683,-34.026675,-2.8,0.5,0.56,2.46,10.4,4,-3.3,-4.78,3.8
105,423,150.6626617,-34.02665,-3.4,-0.1,0.6,2.54,10.3,3.5,-3.34,-4.76,3.45
106,427,150.662665,-34.0266233,-3.7,-0.3,0.6,2.52,10.6,3.6,-3.36,-4.79,3.45
107,431,150.662675,-34.0265933,-3.7,-0.4,0.59,2.56,11.1,4.2,-3.37,-4.77,3.7
108,435,150.6626867,-34.0265617,-3.4,-0.7,0.5,2.52,11.3,4.2,-3.42,-4.94,3.95
109,439,150.6626967,-34.0265283,-3.1,-0.4,0.52,2.48,11.7,4.8,-3.39,-4.92,4.3
110,443,150.6627083,-34.0264917,-2.6,0.4,0.43,2.37,11.9,4.9,-3.43,-5.09,4.65
111,447,150.6627183,-34.026455,-2.4,0,0.4,2.37,12.1,5.4,-3.44,-5.27,4.85
112,451,150.6627267,-34.02642,-2.1,0.4,0.37,2.29,12.1,5.5,-3.37,-5.32,5
113,455,150.662735,-34.0263883,-2.2,1.1,0.42,2.27,11.9,5.4,-3.35,-5.26,4.85
114,459,150.6627433,-34.026355,-1.5,1.4,0.45,2.3,12.3,5.8,-3.33,-5.11,5.4
115,463,150.6627533,-34.02632,-1,1.3,0.44,2.16,11.4,5.6,-3.12,-4.9,5.2
116,467,150.6627633,-34.0262817,-0.7,2,0.4,2.06,10.8,5.7,-2.96,-4.75,5.05
117,471,150.662775,-34.0262383,-0.6,2.6,0.4,1.94,10.3,5.8,-2.84,-4.58,4.85
118,475,150.6627867,-34.0261933,-0.5,2.8,0.45,1.93,10.2,5.9,-2.76,-4.33,4.85
119,479,150.6628,-34.026145,-1.1,2.8,0.49,2,9.7,5.2,-2.7,-4.22,4.3
120,483,150.6628133,-34.026095,-0.9,3.1,0.52,2.07,10.1,5.2,-2.78,-4.19,4.6
121,487,150.6628267,-34.0260417,-1,3.4,0.57,2.29,11,5.8,-2.92,-4.21,5
122,491,150.6628383,-34.0259883,-1.2,3.3,0.6,2.31,11.5,6.2,-3,-4.28,5.15
123,495,150.6628517,-34.025935,-0.7,3.6,0.56,2.3,11.5,5.9,-3.01,-4.36,5.4
124,499,150.6628633,-34.0258883,-1.1,3.9,0.59,2.14,11.1,6,-2.95,-4.43,5
125,503,150.6628767,-34.025845,-0.9,4.6,0.72,2.08,11.4,6.5,-2.96,-4.45,5.25
126,507,150.6628883,-34.0257983,-0.2,6.2,0.7,1.99,11.8,7.3,-2.94,-4.51,5.8
127,511,150.6628983,-34.0257533,0.1,6.1,0.68,2.06,11.8,7.5,-2.9,-4.33,5.95
128,515,150.66291,-34.0257067,0,7.1,0.74,2.16,12.3,7.2,-2.95,-4.22,6.15
129,519,150.6629217,-34.02566,0.7,7.6,0.75,2.37,13.6,8.2,-3.17,-4.5,7.15
130,523,150.6629333,-34.0256117,0.6,7.2,0.68,2.42,14.6,8.6,-3.44,-4.99,7.6
131,527,150.662945,-34.0255633,2.4,7.4,0.48,2.34,16,9.9,-3.69,-5.73,9.2
132,531,150.6629583,-34.0255117,2.9,7.4,0.37,2.48,17.6,11.1,-4.08,-6.55,10.25
133,535,150.66297,-34.02546,4,7.7,0.25,2.4,18.4,11.2,-4.11,-6.89,11.2
134,539,150.6629817,-34.0254083,4.3,7.8,0.14,2.16,17.6,11.7,-4.02,-7.02,10.95
135,543,150.662995,-34.025355,4.4,8.4,0.23,1.63,14.9,10.3,-3.4,-6.37,9.65
136,547,150.6630083,-34.0253017,3.8,9.3,0.28,1.32,13.8,10.3,-3.13,-5.96,8.8
137,551,150.66302,-34.0252467,2.6,8.5,0.09,1.09,14.3,10,-3.19,-6.23,8.45
138,555,150.66303,-34.0251933,3.2,7.8,0.13,1.42,15.5,10.1,-3.56,-6.64,9.35
139,559,150.6630417,-34.02514,4.8,9.9,0.06,1.39,15,11.5,-3.39,-6.74,9.9
140,563,150.6630517,-34.0250883,5.5,9.7,0.08,1.63,16.2,13,-3.65,-7.03,10.85
141,567,150.6630633,-34.025035,4.5,7.3,-0.01,2.66,20.9,12.8,-4.75,-8.21,12.7
142,571,150.663075,-34.0249867,4.1,3.8,-0.11,3.97,27.4,13.9,-6.23,-9.78,15.75
143,575,150.663085,-34.0249433,4.1,2.2,-0.18,4.29,29.2,14.2,-6.71,-10.57,16.65
144,579,150.663095,-34.0249083,3,1.8,-0.12,4.27,28.5,13.4,-6.64,-10.51,15.75
