Lat,Lon,ID,Conductivity,Quadrature
-34.02589751,150.66281865,106,11.7661111111111,0.706944449722223
-34.02611855,150.66276187,107,11.5802777222222,0.692777780000001
-34.02617427,150.66275036,108,11.0741665833333,0.614722227222222
-34.02623031,150.66274144,111,10.7877776944444,0.559722199444444
-34.026285,150.662731,112,10.4719443611111,0.433611085555555
-34.02633797,150.66271616,113,10.1227777222222,0.314166638333333
-34.02642572,150.66268989,114,9.94444438888888,0.351944411111111
-34.02648109,150.66267484,115,9.70499997222222,0.3158333
-34.02653306,150.66265823,116,10.0361111111111,0.38944441388889
-34.02657819,150.66264148,117,10.3911111111111,0.443333330555556
-34.0266229,150.66262845,118,10.3394444166667,0.450000008333334
-34.02666162,150.66261128,119,9.91777769444444,0.473333344444445
-34.0266978,150.66258832,120,9.35222213888889,0.289722233333334
