Latitude,Longitude,Accuracy,Time,Reading
-34.02593796,150.66284081,3,131630,4.66
-34.02591039,150.66284795,3,131631,4.85
-34.02588328,150.66285564,3,131632,4.69
-34.02585631,150.66286359,3,131633,4.89
-34.02582914,150.66287143,3,131634,4.76
-34.02580287,150.66287859,3,131635,4.85
-34.02577677,150.66288538,3,131636,4.53
-34.02575111,150.66289212,3,131637,4.81
-34.02572557,150.66289911,3,131638,4.83
-34.02570004,150.66290558,3,131639,4.98
-34.02567477,150.66291195,3,131640,4.77
-34.02564934,150.66291809,3,131641,4.7
-34.02562368,150.66292405,3,131642,4.83
-34.02559849,150.66293014,3,131643,4.71
-34.02557342,150.66293554,3,131644,4.55
-34.02554757,150.66294089,3,131645,4.69
-34.02552166,150.66294678,3,131646,4.87
-34.02549586,150.66295326,3,131647,4.86
-34.02547036,150.66295981,3,131648,4.789999
-34.02544444,150.66296601,3,131649,4.56
-34.02541867,150.66297203,3,131650,4.67
-34.02539628,150.66297732,3,131651,4.51
-34.02536889,150.66298464,4,131652,4.45
-34.02534402,150.66299191,3,131653,4.65
-34.02531927,150.66299941,3,131654,4.69
-34.02529421,150.66300594,3,131655,4.7
-34.02526915,150.66301208,3,131656,4.809999
-34.02524402,150.66301756,3,131657,4.6
-34.02521861,150.66302292,3,131658,4.99
-34.02519305,150.66302849,3,131659,4.95
-34.02516734,150.66303474,3,131700,4.84
-34.02514187,150.66304048,3,131701,4.92
-34.02511725,150.66304587,3,131702,5.04
-34.02509219,150.66305131,3,131703,4.92
-34.02506786,150.66305674,3,131704,4.69
-34.02504411,150.66306209,3,131705,4.71
-34.02502041,150.66306757,3,131706,4.9
-34.02499743,150.66307325,3,131707,5.08
-34.02497754,150.66307857,3,131708,4.5
-34.0249581,150.66308431,3,131709,4.99
-34.0249394,150.66308919,3,131710,4.71
-34.02491929,150.66309027,3,131711,4.739999
-34.02490128,150.66308725,3,131712,4.67
-34.02488972,150.66307828,3,131713,4.72
-34.02488191,150.6630632,3,131714,5.039999
-34.02488064,150.66304452,3,131715,4.61
-34.024886,150.66302613,3,131716,4.809999
-34.0248982,150.66301247,3,131717,4.34
-34.02491379,150.66300495,3,131718,4.88
-34.02492987,150.66300183,3,131719,4.72
-34.02494547,150.66299961,3,131720,5.13
-34.02496133,150.66299747,3,131721,4.7
-34.02497755,150.66299499,3,131722,4.96
-34.02499411,150.66299245,3,131723,4.71
-34.02501445,150.66298841,3,131724,4.78
-34.02503552,150.66298414,3,131725,4.82
-34.02505689,150.66297928,3,131726,4.67
-34.02507827,150.66297413,3,131727,4.41
-34.02510043,150.66296894,3,131728,4.5
-34.02512332,150.66296348,3,131729,4.79
-34.0251469,150.66295787,3,131730,4.66
-34.02517143,150.66295184,3,131731,4.77
-34.0252003,150.66294502,3,131732,4.659999
-34.02522967,150.66293838,3,131733,4.670001
-34.02525822,150.66293157,3,131734,4.49
-34.02528609,150.66292481,3,131735,4.58
-34.02531296,150.66291883,3,131736,4.68
-34.02533961,150.66291246,3,131737,4.5
-34.02536628,150.66290563,3,131738,4.82
-34.02539251,150.66289833,3,131739,4.68
-34.0254191,150.66289037,3,131740,4.64
-34.02544575,150.66288279,3,131741,4.99
-34.02547214,150.66287627,3,131742,4.83
-34.02549877,150.66287102,3,131743,4.6
-34.02552577,150.66286638,3,131744,4.77
-34.02555302,150.66286186,3,131745,4.5
-34.02557996,150.66285667,3,131746,4.71
-34.02560782,150.66285089,3,131747,4.55
-34.02563575,150.66284414,3,131748,5.039999
-34.02566382,150.66283698,3,131749,4.67
-34.02569188,150.66282926,3,131750,4.68
-34.02572001,150.6628224,3,131751,4.66
-34.02574824,150.66281597,3,131752,4.76
-34.02577659,150.6628094,3,131753,4.61
-34.02580507,150.66280304,3,131754,4.68
-34.02583316,150.66279641,3,131755,4.7
-34.02586131,150.66278989,3,131756,4.6
-34.02588948,150.66278279,3,131757,4.51
-34.0259177,150.66277494,3,131758,4.7
-34.02594629,150.66276708,3,131759,4.9
-34.02597605,150.66276009,3,131800,4.84
-34.02600586,150.66275303,3,131801,4.6
-34.0260358,150.66274594,3,131802,4.71
-34.02606587,150.66273879,3,131803,4.8
-34.02609584,150.66273149,3,131804,4.47
-34.02615679,150.66271762,3,131806,4.73
-34.02618701,150.66271057,3,131807,4.77999
-34.02621709,150.66270303,3,131808,4.93
-34.02624667,150.6626951,3,131809,4.91
-34.02627613,150.66268658,3,131810,4.69
