ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 
910.0-34.02647161,150.66279165,3.2160000801086426,135019,16.63,58.39
911.0-34.0264927,150.66278978,3.2160000801086426,135020,16.94,58.54
912.0-34.02651243,150.66278818,3.2160000801086426,135021,17.58,58.83
44.57-34.02653081,150.66278406,3.2160000801086426,135022,17.0,58.0
914.0-34.02654959,150.66277575,3.2160000801086426,135023,17.24,58.68
916.0-34.02658741,150.66276475,3.2160000801086426,135025,17.49,58.79
917.0-34.02660354,150.66275809,3.2160000801086426,135026,17.73,58.9
918.0-34.02661218,150.6627427,3.2160000801086426,135027,18.21,59.13
919.0-34.02661494,150.66272209,3.2160000801086426,135028,17.42,58.76
920.0-34.02660777,150.66270144,3.2160000801086426,135029,17.21,58.66
921.0-34.02659794,150.66268318,3.2160000801086426,135030,16.89,58.51
922.0-34.02658294,150.66267204,3.2160000801086426,135031,17.25,58.68
924.0-34.02654877,150.66266559,3.2160000801086426,135033,17.43,58.77
925.0-34.02652893,150.66266903,3.2160000801086426,135034,16.9,58.52
926.0-34.02650967,150.66267502,3.2160000801086426,135035,16.99,58.56
928.0-34.0264713,150.66268888,3.2160000801086426,135037,17.74,58.91
929.0-34.02645535,150.66269539,3.2160000801086426,135038,16.66,58.41
52.57-34.02643839,150.66270035,3.2160000801086426,135039,17.02,5.0
931.0-34.02642236,150.66271018,3.2160000801086426,135040,17.91,58.99
932.0-34.0264055,150.66272174,3.2160000801086426,135041,18.05,59.05
933.0-34.02638892,150.66273308,3.2160000801086426,135042,17.51,58.8
103.14-34.02636528,150.66273745,3.2160000801086426,135043,18.24,58.8
935.0-34.02634307,150.66274079,3.2160000801086426,135044,17.31,58.71
936.0-34.02632577,150.66274525,3.2160000801086426,135045,16.78,58.46
937.0-34.02630669,150.66274938,3.2160000801086426,135046,17.96,59.01
938.0-34.02628578,150.66275201,3.2160000801086426,135047,17.26,58.69
52.79-34.02626808,150.66275812,3.2160000801086426,135048,17.48,5.0
940.0-34.02625077,150.66276168,3.2160000801086426,135049,17.54,58.82
941.0-34.02623096,150.66276593,3.2160000801086426,135050,16.86,58.5
942.0-34.02621131,150.66276916,3.2160000801086426,135051,17.17,58.64
943.0-34.02619006,150.66277083,3.2160000801086426,135052,16.86,58.5
944.0-34.02616865,150.66277425,3.2160000801086426,135053,17.18,58.65
945.0-34.02614669,150.66277962,3.2160000801086426,135054,17.15,58.63
946.0-34.02612619,150.66278479,3.2160000801086426,135055,17.56,58.83
947.0-34.02610513,150.66279123,3.2160000801086426,135056,17.98,59.02
948.0-34.02608257,150.66279549,3.2160000801086426,135057,17.14,58.63
949.0-34.02605951,150.66279566,3.2160000801086426,135058,17.52,58.81
950.0-34.02603821,150.66279387,3.2160000801086426,135059,17.67,58.88
951.0-34.02601844,150.66279533,3.2160000801086426,135100,17.54,58.82
952.0-34.02599879,150.66279924,3.2160000801086426,135101,17.39,58.75
953.0-34.02597794,150.66280442,3.2160000801086426,135102,17.45,58.77
955.0-34.0259573,150.6628099,3.2160000801086426,135103,17.17,58.64
956.0-34.02593783,150.66281571,3.2160000801086426,135104,22.89,61.3
958.0-34.02589891,150.6628257,3.2160000801086426,135106,17.05,58.59
959.0-34.02587995,150.66282936,3.2160000801086426,135107,17.15,58.63
960.0-34.02586276,150.66282953,3.2160000801086426,135108,17.38,58.74
961.0-34.02584515,150.66283138,3.2160000801086426,135109,17.5,58.8
962.0-34.02582732,150.66283558,3.2160000801086426,135110,17.8,58.94
52.53-34.02580905,150.66284079,3.2160000801086426,135111,16.92,5.0
52.730000000000004-34.02579249,150.66284528,3.2160000801086426,135112,17.35,5.0
966.0-34.02575686,150.66285191,3.2160000801086426,135114,17.65,58.87
967.0-34.02574024,150.66285855,3.2160000801086426,135115,17.65,58.87
968.0-34.02572509,150.66286636,3.2160000801086426,135116,18.0,59.03
969.0-34.02570907,150.6628743,3.2160000801086426,135117,17.68,58.88
970.0-34.02569085,150.66288039,3.2160000801086426,135118,17.78,58.93
971.0-34.02567166,150.6628853,3.2160000801086426,135119,17.22,58.67
972.0-34.02565317,150.66288907,3.2160000801086426,135120,17.57,58.83
973.0-34.02563387,150.66289365,3.2160000801086426,135121,17.51,58.8
974.0-34.0256172,150.66290017,3.2160000801086426,135122,17.15,58.63
975.0-34.02560021,150.66290723,3.2160000801086426,135123,17.67,58.88
976.0-34.02558125,150.66291224,3.2160000801086426,135124,17.79,58.93
977.0-34.02556247,150.66291942,3.2160000801086426,135125,18.04,59.05
979.0-34.02554462,150.6629275,3.2160000801086426,135126,17.24,58.68
980.0-34.0255098,150.66293685,3.2160000801086426,135128,17.33,58.72
102.68-34.02548813,150.66293881,3.2160000801086426,135129,17.24,58.72
982.0-34.025464,150.66294427,3.2160000801086426,135130,17.26,58.69
983.0-34.02544347,150.66295101,3.2160000801086426,135131,17.29,58.7
984.0-34.02539829,150.6629519,3.2160000801086426,135133,17.36,58.73
985.0-34.02535782,150.66295781,3.2160000801086426,135135,17.53,58.81
986.0-34.02533642,150.66295982,3.2160000801086426,135136,17.7,58.89
987.0-34.0253148,150.66296122,3.2160000801086426,135137,17.54,58.82
988.0-34.02527832,150.66297034,3.2160000801086426,135139,17.01,58.57
990.0-34.02526022,150.66297553,3.2160000801086426,135140,17.03,58.58
991.0-34.02522239,150.66298405,3.2160000801086426,135142,17.53,58.81
993.0-34.02520909,150.66299043,3.2160000801086426,135143,17.07,58.6
994.0-34.0251928,150.66299731,3.2160000801086426,135144,17.23,58.67
995.0-34.0251749,150.66300446,3.2160000801086426,135145,16.74,58.67
102.44-34.02515977,150.66301369,3.2160000801086426,135146,16.74,58.67
997.0-34.02514233,150.6630194,3.2160000801086426,135147,17.3,58.7
998.0-34.02512469,150.6630246,3.2160000801086426,135148,16.88,58.51
1021.0-34.02503154,150.66308915,5.360000133514404,135211,17.86,58.96
1022.0-34.02500166,150.66308457,3.2160000801086426,135212,17.11,58.62
1023.0-34.02497458,150.66307988,3.2160000801086426,135213,17.58,58.83
1024.0-34.02495253,150.66307793,3.2160000801086426,135214,17.05,58.59
1025.0-34.02493242,150.6630747,3.2160000801086426,135215,17.5,58.8
1026.0-34.02491549,150.66307306,3.2160000801086426,135216,17.62,58.85
1027.0-34.02490089,150.6630737,3.2160000801086426,135217,17.79,58.93
1028.0-34.02488761,150.66307637,3.2160000801086426,135218,17.06,58.59
1029.0-34.02487251,150.6630771,3.2160000801086426,135219,17.65,58.87
1031.0-34.02485733,150.66307169,3.2160000801086426,135220,16.75,58.45
1032.0-34.0248367,150.66304804,3.2160000801086426,135222,17.94,59.0
1033.0-34.02483155,150.66303211,3.2160000801086426,135223,17.99,59.03
1034.0-34.02483316,150.66301471,3.2160000801086426,135224,17.2,58.66
1036.0-34.02486434,150.66299818,3.2160000801086426,135226,17.88,58.97
1039.0-34.02489907,150.66299454,3.2160000801086426,135228,17.26,58.69
1040.0-34.02491438,150.66299481,3.2160000801086426,135229,17.69,58.89
52.79-34.02494787,150.66298874,3.2160000801086426,135231,17.49,5.0
1043.0-34.02496414,150.66297811,3.2160000801086426,135232,16.93,58.53
102.8-34.02499962,150.66296554,3.2160000801086426,135234,17.51,58.53
1045.0-34.02501982,150.66296062,3.2160000801086426,135235,17.92,58.99
1047.0-34.02503933,150.66295511,3.2160000801086426,135236,17.57,58.83
102.66-34.02508031,150.66294068,3.2160000801086426,135238,17.21,58.54
1051.0-34.02512105,150.66292855,3.2160000801086426,135240,16.98,58.56
1052.0-34.02514193,150.66292349,3.2160000801086426,135241,17.69,58.89
1053.0-34.02516273,150.66291686,3.2160000801086426,135242,16.97,58.55
1054.0-34.02518476,150.66291207,3.2160000801086426,135243,17.68,58.88
1055.0-34.02520666,150.66290889,3.2160000801086426,135244,18.04,59.05
102.43-34.02522866,150.6629077,3.2160000801086426,135245,16.7,59.05
1057.0-34.02525017,150.66290725,3.2160000801086426,135246,18.1,59.08
1058.0-34.02527172,150.66290418,3.2160000801086426,135247,17.39,59.08
102.77000000000001-34.02529553,150.6629019,3.2160000801086426,135248,17.45,59.08
1060.0-34.02531873,150.66290015,3.2160000801086426,135249,16.99,58.56
1061.0-34.02534146,150.66289677,3.2160000801086426,135250,16.63,58.39
1062.0-34.02536434,150.66289293,3.2160000801086426,135251,16.88,58.51
1063.0-34.02538691,150.66288759,3.2160000801086426,135252,18.03,59.04
1064.0-34.02540876,150.66288136,3.2160000801086426,135253,17.42,58.76
1065.0-34.02543007,150.66287552,3.2160000801086426,135254,17.49,58.79
1066.0-34.02545057,150.66287045,3.2160000801086426,135255,17.47,58.78
1067.0-34.02546965,150.66286357,3.2160000801086426,135256,17.12,58.62
1068.0-34.02548936,150.66285673,3.2160000801086426,135257,17.12,58.62
1069.0-34.02551102,150.66285046,3.2160000801086426,135258,17.76,58.92
1070.0-34.02553209,150.66284462,3.2160000801086426,135259,17.84,58.96
1072.0-34.02557608,150.66283546,3.2160000801086426,135301,18.04,59.05
1073.0-34.02559795,150.66283079,3.2160000801086426,135302,17.36,58.73
1074.0-34.02561857,150.66282501,3.2160000801086426,135303,18.24,58.73
1076.0-34.02565998,150.66281405,3.2160000801086426,135305,18.07,59.06
1077.0-34.0256816,150.66280857,3.2160000801086426,135306,17.31,58.71
1078.0-34.02570356,150.6628027,3.2160000801086426,135307,17.48,58.79
1079.0-34.02572454,150.66279685,3.2160000801086426,135308,17.74,58.91
1080.0-34.02574849,150.66279152,3.2160000801086426,135309,17.06,58.59
1081.0-34.02577068,150.66278628,3.2160000801086426,135310,17.69,58.89
1082.0-34.02579551,150.66278079,3.2160000801086426,135311,17.79,58.93
1083.0-34.02581723,150.66277438,3.2160000801086426,135312,16.89,58.51
1085.0-34.02584067,150.66276841,3.2160000801086426,135313,17.8,58.94
1086.0-34.02588324,150.66275769,3.2160000801086426,135315,18.01,59.03
1088.0-34.02590363,150.66275179,3.2160000801086426,135316,17.61,58.85
1089.0-34.02594443,150.66273933,3.2160000801086426,135318,17.38,58.74
1090.0-34.02596562,150.66273393,3.2160000801086426,135319,17.63,58.86
1091.0-34.02598618,150.66272877,3.2160000801086426,135320,16.61,58.38
1092.0-34.02600551,150.66272295,3.2160000801086426,135321,16.9,58.52
1093.0-34.02602355,150.66271772,3.2160000801086426,135322,17.42,58.76
1095.0-34.02604127,150.66271424,3.2160000801086426,135323,17.24,58.68
1097.0-34.02608082,150.66270395,3.2160000801086426,135325,18.07,59.06
1098.0-34.0261003,150.66269806,3.2160000801086426,135326,16.73,58.44
1099.0-34.02612111,150.66269125,3.2160000801086426,135327,16.69,58.42
1101.0-34.0261645,150.6626802,3.2160000801086426,135329,17.9,58.98
1102.0-34.02618584,150.6626748,3.2160000801086426,135330,17.92,58.99
1103.0-34.026207,150.66266856,3.2160000801086426,135331,17.07,58.6
102.38-34.02624556,150.6626598,3.2160000801086426,135333,16.6,58.6
1105.0-34.02626466,150.66265653,3.2160000801086426,135334,16.45,58.31
1106.0-34.0262844,150.66265404,3.2160000801086426,135335,16.0,58.1
1107.0-34.02630378,150.66265124,3.2160000801086426,135336,15.82,58.02
1108.0-34.0263222,150.66264731,3.2160000801086426,135337,16.57,58.37
1109.0-34.02634219,150.66264463,3.2160000801086426,135338,16.2,58.19
1110.0-34.02636113,150.66263972,3.2160000801086426,135339,16.14,58.17
1111.0-34.02638443,150.66263975,3.2160000801086426,135340,16.77,58.46
1112.0-34.02640244,150.66263568,3.2160000801086426,135341,16.47,58.32
1113.0-34.02641987,150.66263212,3.2160000801086426,135342,17.82,58.32
1115.0-34.02643696,150.66262858,3.2160000801086426,135343,17.24,58.68
1116.0-34.02645244,150.66262529,3.2160000801086426,135344,16.8,58.47
102.66-34.02647691,150.66262034,3.2160000801086426,135346,17.2,58.47
1118.0-34.02648734,150.66261917,3.2160000801086426,135347,16.15,58.17
1119.0-34.026496,150.66261809,3.2160000801086426,135348,16.49,58.33
1120.0-34.02650582,150.66261671,3.2160000801086426,135349,16.91,58.52
1121.0-34.02651723,150.66261567,3.2160000801086426,135350,17.1,58.61
1122.0-34.02652913,150.66261445,3.2160000801086426,135351,16.57,58.37
1123.0-34.02654116,150.6626134,3.2160000801086426,135352,17.0,58.57
1124.0-34.02655177,150.66261234,3.2160000801086426,135353,17.1,58.61
102.72-34.02656271,150.66261068,3.2160000801086426,135354,17.33,58.61
1126.0-34.0265747,150.66260749,3.2160000801086426,135355,17.56,58.83
1127.0-34.02658557,150.66259891,3.2160000801086426,135356,17.18,58.65
1128.0-34.02659337,150.66258537,3.2160000801086426,135357,17.53,58.81
1129.0-34.02659344,150.6625667,3.2160000801086426,135358,17.0,58.57
1130.0-34.02658995,150.66254765,3.2160000801086426,135359,17.61,58.85
1131.0-34.02658404,150.66253117,3.2160000801086426,135400,17.88,58.97
1132.0-34.02657197,150.66251903,3.2160000801086426,135401,17.85,58.96
1134.0-34.02655743,150.66251558,3.2160000801086426,135402,17.21,58.66
1135.0-34.0265289,150.66252311,3.2160000801086426,135404,17.92,58.99
1136.0-34.02651394,150.66252827,3.2160000801086426,135405,16.68,58.42
1137.0-34.02649643,150.66253407,3.2160000801086426,135406,17.39,58.75
1138.0-34.02647696,150.66253912,3.2160000801086426,135407,17.06,58.59
