,Lon,Lat,1m HCP con,2m HCP con,1m HCP in,2m HCP in,1m PRP con,2m PRP con,1m PPR in,2m PPR in
234,150.663825,-34.022065,3.1,5.2,0.27,0.66,2.6,3.1,-0.49,-1.6
235,150.663825,-34.022065,2.7,5.7,0.26,0.67,2.5,2.9,-0.49,-1.62
236,150.663825,-34.022065,3.2,5.2,0.27,0.65,2.6,3.2,-0.49,-1.6
237,150.663825,-34.022065,2.8,5.4,0.27,0.66,2.6,3.5,-0.49,-1.58
238,150.663825,-34.022065,3,5.4,0.27,0.66,3.1,4.5,-0.49,-1.58
239,150.663825,-34.022065,3.3,5.5,0.27,0.66,2.5,3.2,-0.49,-1.56
240,150.663825,-34.022065,3.3,5.5,0.27,0.66,2.7,3.3,-0.49,-1.57
241,150.663825,-34.022065,3.3,5.7,0.27,0.67,2.6,3.7,-0.49,-1.58
242,150.663825,-34.022065,3.4,5.5,0.27,0.67,2.6,3.3,-0.49,-1.58
243,150.663825,-34.022065,3.3,5.5,0.27,0.68,2.5,3.3,-0.49,-1.6
244,150.663825,-34.022065,3.4,5.1,0.27,0.66,2.6,3.2,-0.49,-1.6
245,150.6638317,-34.0220667,3.5,5.2,0.27,0.67,2.6,3.1,-0.48,-1.58
246,150.663845,-34.02207,3.3,5.6,0.28,0.65,2.5,3,-0.48,-1.6
247,150.6638567,-34.0220767,3.3,5.6,0.28,0.69,2.7,3.1,-0.47,-1.55
248,150.6638683,-34.0220833,3.5,5.6,0.28,0.72,2.7,3.4,-0.48,-1.63
249,150.66388,-34.0220933,3.4,5.6,0.27,0.74,2.4,3.1,-0.48,-1.66
250,150.6638917,-34.0221033,3.6,5.8,0.27,0.63,2.3,3.2,-0.48,-1.65
251,150.6639,-34.0221133,3.5,5.9,0.24,0.58,2.6,3.6,-0.47,-1.57
252,150.6639067,-34.022125,3.1,5.9,0.25,0.6,2.7,3.4,-0.46,-1.52
253,150.6639083,-34.0221383,3,5.4,0.27,0.65,2.6,3.5,-0.46,-1.49
254,150.6639067,-34.0221533,2.6,6.2,0.3,0.7,2.5,3.2,-0.47,-1.49
255,150.6639017,-34.0221683,3.4,6.3,0.28,0.7,3,3.6,-0.5,-1.6
256,150.6638967,-34.022185,3.5,5.7,0.24,0.69,3.9,4,-0.57,-1.71
257,150.6638917,-34.0222067,3.7,5.3,0.24,0.69,4,4,-0.62,-1.74
258,150.6638867,-34.0222283,3.8,5.4,0.25,0.72,3.9,4.4,-0.65,-1.82
259,150.6638817,-34.0222533,3.5,5.8,0.35,0.83,4.4,4,-0.71,-1.76
260,150.663875,-34.0222817,3.6,5.7,0.36,0.83,4,4.1,-0.72,-1.77
261,150.6638683,-34.02231,3.8,5.9,0.74,1.25,5.1,4.7,-1.08,-1.83
262,150.66386,-34.0223417,4.7,6.2,0.66,1.46,4.6,4.6,-1,-1.85
263,150.6638517,-34.0223733,5,7,0.36,0.99,4.7,4.3,-0.84,-2.09
264,150.6638433,-34.02241,4.9,7.7,0.37,1,5.3,5.3,-0.92,-2.12
265,150.6638333,-34.0224467,5.5,8.7,0.31,1.02,6,5.5,-1.04,-2.2
266,150.6638217,-34.0224867,5.6,9,0.35,1.09,5.6,4.8,-1.06,-2.16
267,150.6638117,-34.0225283,5.6,10.3,0.34,1.09,5.3,5.3,-1.05,-2.18
268,150.6638,-34.02257,6.7,11.8,0.37,1.2,5.7,5.4,-1.09,-2.14
269,150.6637883,-34.022615,6.5,13.2,0.46,1.35,6,4.4,-1.07,-1.94
270,150.6637783,-34.0226583,6.5,14.4,0.51,1.39,5.5,4,-1.08,-1.89
271,150.6637667,-34.0227033,7.1,14.8,0.53,1.55,5.4,3.1,-1.11,-1.91
272,150.6637567,-34.0227483,7.5,16,0.55,1.39,4.5,2.9,-0.95,-1.76
273,150.663745,-34.0227917,8.2,15.9,0.48,1.27,4.6,2.8,-0.92,-1.79
274,150.663735,-34.0228383,7.3,15.3,0.47,1.26,4.6,3.4,-0.92,-1.7
275,150.663725,-34.0228817,6.7,14.8,0.51,1.26,3.9,2.9,-0.89,-1.6
276,150.6637183,-34.0229183,6.1,14.4,0.59,1.31,4,3,-0.87,-1.61
277,150.6637117,-34.02295,6.2,13.8,0.62,1.37,5,3.9,-0.95,-1.71
278,150.663705,-34.0229767,5.8,12.3,0.73,1.51,5.9,4.3,-1.05,-1.78
279,150.6636967,-34.0230033,5.4,11.6,0.82,1.66,7.1,5.5,-1.13,-1.88
280,150.6636933,-34.0230317,6.1,11.4,0.7,1.84,8.1,5.5,-1.37,-2.01
281,150.6636867,-34.0230617,6.1,9.1,0.48,1.72,8.9,5.8,-1.49,-2.22
282,150.66368,-34.02309,5.5,6.2,0.56,1.8,11.6,8,-1.63,-2.35
283,150.6636733,-34.02312,3.2,5.8,0.69,2.13,10.6,6.7,-1.8,-2.38
284,150.6636633,-34.0231517,2.2,4.5,0.79,2.39,11.4,6.4,-1.99,-2.54
285,150.6636533,-34.023185,2.4,4.2,0.82,2.68,13.1,6.7,-2.32,-2.77
286,150.6636417,-34.0232217,2.4,4.3,0.72,2.82,13.4,6.7,-2.52,-3.06
287,150.6636317,-34.02326,3.7,4.6,0.61,3.09,15.8,8,-2.89,-3.51
288,150.6636217,-34.0233,5.8,5.7,0.42,3.2,17.9,10.2,-3.17,-4.13
289,150.66361,-34.02334,6.5,7.5,0.45,3.29,18.8,10.9,-3.4,-4.5
290,150.6636,-34.0233833,6.5,5.5,0.36,3.52,21.5,12.3,-3.9,-5.34
