ID,Latitude,Longitude,Accuracy,Time,Itt,Data1,Data2 ,Data1_Ave7,Data1_Ave11
49.95,-34.0248588,150.6630514,3.21600008010864,120138,171,69,3,73.2857142857143,75.3333333333333
2243,-34.0248509,150.6630303,3.21600008010864,120139,172,70,7.84,72.2857142857143,73.9166666666667
2245,-34.0248535,150.6630075,3.21600008010864,120140,173,74,9.76,72,73.1666666666667
2246,-34.0248633,150.6629858,3.21600008010864,120141,174,72,9.73,72.2857142857143,72.6666666666667
2248,-34.0248767,150.6629734,3.21600008010864,120142,175,75,9.76,72.5714285714286,73.3333333333333
53.76,-34.0248939,150.6629657,3.21600008010864,120143,176,73,9.75,73,74.8333333333333
2251,-34.0249118,150.6629638,3.21600008010864,120144,177,73,7.83,73.2857142857143,76.5
2253,-34.024926,150.6629639,3.21600008010864,120145,178,71,7.84,74.8571428571429,78.0833333333333
2255,-34.0249422,150.6629627,3.21600008010864,120146,179,73,5.92,76.8571428571429,79.4166666666667
2256,-34.0249597,150.6629601,3.21600008010864,120147,180,76,7.89,79.1428571428571,80.9166666666667
2258,-34.024978,150.6629572,3.21600008010864,120148,181,83,7.89,81.4285714285714,82.0833333333333
2260,-34.0249967,150.6629538,3.21600008010864,120149,182,89,9.79,84.1428571428571,83
2261,-34.0250137,150.6629497,3.21600008010864,120150,183,89,9.73,86.5714285714286,84.1666666666667
2263,-34.0250328,150.662947,3.21600008010864,120151,184,89,9.68,88.4285714285714,85.9166666666667
2264,-34.0250523,150.6629435,3.21600008010864,120152,185,90,9.69,88.5714285714286,87.5833333333333
44.75,-34.025072,150.6629385,3.21600008010864,120153,186,90,9,88.2857142857143,89.0833333333333
44.74,-34.0250935,150.6629331,3.21600008010864,120154,187,89,9,88.7142857142857,89.5833333333333
2270,-34.0251151,150.6629264,3.21600008010864,120155,188,84,9.72,89.2857142857143,89.6666666666667
44.71,-34.0251362,150.6629188,3.21600008010864,120156,189,87,9,89.8571428571429,89.8333333333333
2273,-34.0251558,150.6629115,3.21600008010864,120157,190,92,7.82,89.7142857142857,90.5
2275,-34.0251756,150.662907,3.21600008010864,120158,191,93,7.79,89.8571428571429,91.25
2276,-34.0251953,150.6629033,3.21600008010864,120159,192,94,7.78,90.8571428571429,91.9166666666667
2278,-34.0252153,150.662898,3.21600008010864,120200,193,89,9.67,92.2857142857143,92.25
2280,-34.0252345,150.6628924,3.21600008010864,120201,194,90,9.72,93.2857142857143,92.5833333333333
2281,-34.0252503,150.6628862,3.21600008010864,120202,195,91,9.74,94,92.6666666666667
2283,-34.025268,150.66288,3.21600008010864,120203,196,97,9.78,93.8571428571429,92.6666666666667
2285,-34.0252867,150.6628743,3.21600008010864,120204,197,99,9.79,93.7142857142857,93
44.77,-34.0253054,150.6628679,3.21600008010864,120205,198,98,9,93.4285714285714,93.3333333333333
2288,-34.0253239,150.6628624,3.21600008010864,120206,199,93,9.79,93.5714285714286,94.3333333333333
2290,-34.025344,150.6628583,3.21600008010864,120207,200,88,9.75,93.5714285714286,94.8333333333333
2291,-34.0253639,150.662855,3.21600008010864,120208,201,88,9.71,93.4285714285714,95.25
2293,-34.0253831,150.662852,3.21600008010864,120209,202,92,7.71,93.8571428571429,94.75
2295,-34.0254021,150.6628469,3.21600008010864,120210,203,97,7.73,94.2857142857143,94.3333333333333
2296,-34.0254216,150.6628414,3.21600008010864,120211,204,98,7.77,95.4285714285714,94.25
2298,-34.025439,150.6628354,3.21600008010864,120212,205,101,9.74,95.8571428571429,94.5
2300,-34.0254575,150.6628302,3.21600008010864,120213,206,96,9.7,96.1428571428571,94.9166666666667
2301,-34.0254762,150.6628256,3.21600008010864,120214,207,96,9.69,96.1428571428571,95
2303,-34.0254937,150.6628216,3.21600008010864,120215,208,91,9.66,95.8571428571429,94.5833333333333
2305,-34.0255116,150.6628176,3.21600008010864,120216,209,94,9.67,94.7142857142857,93.9166666666667
2306,-34.0255302,150.662815,3.21600008010864,120217,210,97,9.7,93.7142857142857,93.1666666666667
2308,-34.0255486,150.6628132,3.21600008010864,120218,211,96,9.76,92.4285714285714,91.9166666666667
2310,-34.0255681,150.6628097,3.21600008010864,120219,212,93,9.75,92.1428571428571,90.5833333333333
2311,-34.0255886,150.6628051,3.21600008010864,120220,213,89,9.74,91.4285714285714,89.1666666666667
2313,-34.0256092,150.6628015,3.21600008010864,120221,214,87,9.7,89.8571428571429,88.5833333333333
2315,-34.0256318,150.6627962,3.21600008010864,120222,215,89,9.73,87.5714285714286,88.25
2316,-34.0256545,150.6627914,3.21600008010864,120223,216,89,9.7,85.5714285714286,87.8333333333333
2318,-34.0256773,150.6627894,3.21600008010864,120224,217,86,9.69,84.8571428571429,87.5
2320,-34.0257,150.6627876,3.21600008010864,120225,218,80,9.68,85.2857142857143,87.3333333333333
53.69,-34.0257199,150.6627857,3.21600008010864,120226,219,79,9.68,85.7142857142857,87.5
2323,-34.0257377,150.6627825,3.21600008010864,120227,220,84,9.72,86.1428571428571,87.8333333333333
2325,-34.0257562,150.6627788,3.21600008010864,120228,221,90,7.79,86.8571428571429,87.9166666666667
2326,-34.0257745,150.6627759,3.21600008010864,120229,222,92,7.81,88.4285714285714,88
2328,-34.0257933,150.6627719,3.21600008010864,120230,223,92,7.77,90.1428571428571,88.3333333333333
51.79,-34.0258118,150.6627658,3.21600008010864,120231,224,91,9.73,91,89.6666666666667
2331,-34.0258312,150.6627594,3.21600008010864,120232,225,91,7.78,91,91
51.85,-34.0258511,150.6627542,3.21600008010864,120233,226,91,7.82,90.7142857142857,91.6666666666667
2335,-34.0258706,150.662751,3.21600008010864,120234,227,90,9.84,91.2857142857143,91.25
2336,-34.0258907,150.6627474,3.21600008010864,120235,228,90,9.87,91.8571428571429,90.3333333333333
2338,-34.0259115,150.6627435,3.21600008010864,120236,229,90,9.86,92,89
2340,-34.0259319,150.6627408,3.21600008010864,120237,230,96,9.81,91.1428571428571,87.75
2341,-34.0259515,150.6627393,3.21600008010864,120238,231,95,9,89.8571428571429,86.5
2343,-34.0259713,150.6627379,3.21600008010864,120239,232,92,9,87.8571428571429,85.6666666666667
2345,-34.0259915,150.6627343,3.21600008010864,120240,233,85,6.03,85.8571428571429,85.0833333333333
2346,-34.0260118,150.6627289,3.21600008010864,120241,234,81,4.08,83,84.4166666666667
2348,-34.0260337,150.6627233,3.21600008010864,120242,235,76,4.1,81,83.5833333333333
50.01,-34.0260563,150.6627165,3.21600008010864,120243,236,76,6.07,79.7142857142857,81.9166666666667
2351,-34.0260776,150.662709,3.21600008010864,120244,237,76,6.05,79.2857142857143,80.5
2353,-34.0260993,150.6627012,3.21600008010864,120245,238,81,6.02,79.1428571428571,79.4166666666667
2354,-34.0261221,150.6626941,3.21600008010864,120246,239,83,6.01,79.1428571428571,79.0833333333333
2356,-34.026144,150.6626862,3.21600008010864,120247,240,82,7.86,79.4285714285714,79
2358,-34.0261637,150.6626778,3.21600008010864,120248,241,80,7.9,79.8571428571429,79.3333333333333
2360,-34.0261848,150.6626709,3.21600008010864,120249,242,76,9.81,79.8571428571429,79.8333333333333
2361,-34.0262053,150.662661,3.21600008010864,120250,243,78,9.78,79.4285714285714,80.5
2363,-34.0262232,150.662652,3.21600008010864,120251,244,79,9.73,79.1428571428571,80.8333333333333
2365,-34.0262417,150.6626425,3.21600008010864,120252,245,81,9.78,79.4285714285714,81.3333333333333
2366,-34.0262603,150.6626333,3.21600008010864,120253,246,80,9.78,80.5714285714286,82.1666666666667
2368,-34.0262799,150.6626234,3.21600008010864,120254,247,80,9.82,81.5714285714286,83.3333333333333
2369,-34.0262989,150.662614,3.21600008010864,120255,248,82,9.82,83,84.4166666666667
