ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 ,Data1_ave7
460,-34.02588398,150.6629528,3.21600008010864,114349,66,9.45,64.1428571428571
461,-34.02590017,150.66295139,3.21600008010864,114350,66,9.42,64
463,-34.02591708,150.66294788,3.21600008010864,114351,65,9.41,64.2857142857143
465,-34.02593611,150.66294501,3.21600008010864,114352,62,9.4,64.7142857142857
466,-34.02595556,150.66294166,3.21600008010864,114353,63,9.4,64.7142857142857
468,-34.02597504,150.66293681,3.21600008010864,114354,65,9.41,64.4285714285714
470,-34.02599409,150.66293081,3.21600008010864,114355,66,9.41,64.1428571428571
471,-34.02601223,150.66292478,3.21600008010864,114356,66,9,64.1428571428571
473,-34.02603304,150.66291883,3.21600008010864,114357,64,9.41,64
475,-34.02605636,150.6629141,3.21600008010864,114358,63,9.44,63.7142857142857
476,-34.02607994,150.6629086,3.21600008010864,114359,62,9.41,63.1428571428572
478,-34.02610155,150.66290316,3.21600008010864,114400,62,9.41,62.7142857142857
480,-34.02612313,150.66289589,3.21600008010864,114401,63,9.44,62.5714285714286
481,-34.02614724,150.66288929,3.21600008010864,114402,62,9.46,62.7142857142857
483,-34.02617093,150.66288318,3.21600008010864,114403,63,9.55,63.1428571428572
485,-34.02619312,150.6628763,3.21600008010864,114404,63,9.47,63.8571428571429
486,-34.02621592,150.66286916,3.21600008010864,114405,64,9.46,64.4285714285714
488,-34.026239,150.66286262,3.21600008010864,114406,65,9.38,65
490,-34.02626162,150.66285753,3.21600008010864,114407,67,9.41,65.4285714285714
491,-34.02628589,150.66285338,3.21600008010864,114408,67,9.37,66.1428571428571
493,-34.02631186,150.66284943,3.21600008010864,114409,66,9.37,67
495,-34.02633624,150.66284678,3.21600008010864,114410,66,9.42,67.5714285714286
496,-34.0263582,150.66284386,3.21600008010864,114411,68,9.45,67.7142857142857
498,-34.02637895,150.66284041,3.21600008010864,114412,70,9.46,67.7142857142857
500,-34.02640135,150.66283594,3.21600008010864,114413,69,9.45,67.7142857142857
501,-34.02642381,150.66283186,3.21600008010864,114414,68,9.42,67.8571428571429
503,-34.02644495,150.66282766,3.21600008010864,114415,67,9.42,67.5714285714286
505,-34.02646729,150.66282172,3.21600008010864,114416,66,9,67.2857142857143
106,-34.02649001,150.66281706,3.21600008010864,114417,67,9.4,67
508,-34.02651239,150.66281241,3.21600008010864,114418,66,9.43,66.8571428571429
510,-34.02653387,150.66280796,3.21600008010864,114419,68,9.45,66.7142857142857
511,-34.02655372,150.66280237,3.21600008010864,114420,67,9.42,66.7142857142857
44.42469,-34.02657167,150.66279499,3.21600008010864,114421,67,9.43,66.2857142857143
515,-34.02658439,150.6627825,3.21600008010864,114422,66,9.35,66
516,-34.02659527,150.66276522,3.21600008010864,114423,66,9.35,65.4285714285714
518,-34.02660113,150.66274455,3.21600008010864,114424,64,9.28,65.5714285714286
520,-34.02660001,150.66272212,3.21600008010864,114425,64,9.28,65.5714285714286
521,-34.02659174,150.66270133,3.21600008010864,114426,64,9.3,65.7142857142857
523,-34.02657708,150.66268436,3.21600008010864,114427,68,9.34,65.1428571428571
