,Time,Lon,Lat,Reading
269,632,150.66232551,-34.02603176,0.0799
270,635,150.66235573,-34.02596937,0.0826
271,637,150.66239507,-34.02592327,0.0767
272,639,150.66243093,-34.02588061,0.0754
273,642,150.66244634,-34.02584094,0.0841
274,644,150.66241094,-34.02584775,0.0754
275,646,150.66238023,-34.02589055,0.0796
276,649,150.66235031,-34.02596377,0.0788
277,651,150.66233691,-34.02600755,0.0829
278,653,150.66232989,-34.02604885,0.0832
279,656,150.66231752,-34.02610372,0.0731
280,658,150.6623102,-34.02613847,0.0858
281,660,150.66229885,-34.02617354,0.0835
282,663,150.66228279,-34.02623207,0.0799
283,665,150.66226852,-34.02627247,0.082
284,667,150.662258,-34.02631627,0.0822
285,670,150.66224359,-34.02638428,0.0821
286,672,150.66223652,-34.02642351,0.0815
287,674,150.66221548,-34.02644326,0.0795
288,677,150.66217783,-34.02641834,0.076
289,679,150.662182,-34.02637906,0.0763
290,682,150.66219438,-34.02631352,0.0744
291,684,150.66219763,-34.02627119,0.0778
292,686,150.66220661,-34.02622892,0.0825
293,688,150.66220498,-34.02619105,0.081
294,691,150.66221478,-34.02613605,0.0851
295,693,150.66223543,-34.02609155,0.0758
296,696,150.66227014,-34.0260228,0.0797
297,698,150.66228939,-34.02597817,0.0774
298,700,150.6623066,-34.02593533,0.0709
299,703,150.66233445,-34.02587767,0.0701
300,704,150.662341,-34.02583418,0.0762
301,706,150.66230926,-34.02579597,0.0734
302,709,150.6622187,-34.02580278,0.0774
303,711,150.66219459,-34.02584359,0.0869
304,713,150.66219268,-34.02589949,0.0767
305,716,150.66218189,-34.02598127,0.0808
306,718,150.662182,-34.02602367,0.0788
307,720,150.66217978,-34.02606429,0.0722
308,723,150.6621782,-34.02612734,0.071
309,725,150.66216955,-34.02616679,0.0676
310,727,150.66216252,-34.02620638,0.0772
311,730,150.6621479,-34.02626536,0.0755
312,732,150.66214107,-34.02630401,0.0736
313,734,150.66212673,-34.02634198,0.0784
314,737,150.6620686,-34.02635353,0.0787
315,739,150.66206374,-34.02631316,0.0815
316,742,150.66207875,-34.02626853,0.0785
317,745,150.66211259,-34.02620162,0.0741
318,747,150.66213493,-34.02615736,0.0789
319,750,150.66214626,-34.02608406,0.0751
320,752,150.6621481,-34.02603652,0.0718
321,754,150.66215911,-34.02599234,0.0751
322,757,150.66217482,-34.02592708,0.0742
323,759,150.66217773,-34.02588376,0.0774
324,761,150.66218404,-34.02584093,0.0811
325,764,150.66218359,-34.02578084,0.0744
326,766,150.66214676,-34.02575743,0.086
327,768,150.66211555,-34.02577904,0.0764
328,771,150.66209123,-34.02582232,0.0818
329,773,150.66207732,-34.02587415,0.0774
330,775,150.66206636,-34.02591632,0.078
