,Time,Lon,Lat,Reading,,Time,Reading,
114,419,150.6627267,-34.02614,11.7225,,574,0.0764399995,13.3769978223441
115,420,150.6627333,-34.0261167,11.745,,576,0.0769549995,13.4671228082621
116,421,150.6627383,-34.0260933,11.7675,,578,0.0770349995,13.4811228060746
117,422,150.6627433,-34.0260683,11.765,,581,0.0773649995,13.5388727970511
118,423,150.66275,-34.026045,11.74,,583,0.0775349995,13.5686227924027
119,424,150.6627567,-34.0260217,11.715,,585,0.0774299995,13.5502477952738
120,425,150.6627617,-34.026,11.68,,588,0.07738,13.541497884141
121,426,150.6627683,-34.0259783,11.6125,,590,0.0778500005,13.6237479587894
122,427,150.662775,-34.0259583,11.55,,592,0.0781000005,13.6674979519534
123,428,150.6627767,-34.02594,11.4775,,595,0.0782050005,13.6858729490824
124,429,150.6627683,-34.0259233,11.3975,,597,0.078635001,13.7611230248245
125,430,150.6627517,-34.025915,11.3025,,599,0.078625001,13.759373025098
126,431,150.6627317,-34.025915,11.215,,602,0.078895001,13.8066230177152
127,432,150.662715,-34.025925,11.15,,604,0.078830001,13.7952480194925
128,433,150.6627017,-34.0259383,11.1,,606,0.078635001,13.7611230248245
129,434,150.6626967,-34.0259533,11.07,,609,0.078465001,13.731373029473
130,435,150.6626933,-34.0259717,11.065,,611,0.078435001,13.7261230302933
131,436,150.66269,-34.0259883,11.095,,613,0.078590001,13.753248026055
132,437,150.6626867,-34.0260067,11.1375,,616,0.078565001,13.7488730267386
133,438,150.6626833,-34.026025,11.205,,618,0.078440001,13.7269980301566
134,439,150.66268,-34.0260433,11.29,,620,0.078935001,13.8136230166214
135,440,150.662675,-34.0260617,11.3825,,623,0.078740001,13.7794980219534
136,441,150.6626717,-34.02608,11.46,,625,0.078795001,13.7891230204495
137,442,150.6626683,-34.0261,11.51,,627,0.078755001,13.7821230215433
138,443,150.6626633,-34.02612,11.555,,630,0.078860001,13.8004980186722
139,444,150.66266,-34.02614,11.575,,632,0.079175001,13.8556230100589
140,445,150.6626567,-34.02616,11.58,,635,0.078685001,13.7698730234573
141,446,150.6626517,-34.02618,11.595,,637,0.0789150005,13.8101229296683
142,447,150.6626467,-34.0262017,11.58,,639,0.079175,13.8556228350589
143,448,150.6626417,-34.0262233,11.555,,642,0.079175,13.8556228350589
144,449,150.6626383,-34.0262433,11.5225,,644,0.079215,13.8626228339652
145,450,150.6626317,-34.026265,11.505,,646,0.0794499995,13.9037477400394
146,451,150.6626267,-34.0262867,11.4875,,649,0.0796999995,13.9474977332035
147,452,150.66262,-34.0263083,11.4875,,651,0.0800149995,14.0026227245902
148,453,150.662615,-34.02633,11.49,,653,0.0801299995,14.0227477214457
149,454,150.6626083,-34.0263517,11.505,,656,0.0802099995,14.0367477192582
150,455,150.6626033,-34.0263733,11.515,,658,0.0800299995,14.00524772418
151,456,150.6625983,-34.026395,11.5275,,660,0.0796199995,13.933497735391
152,457,150.6625917,-34.0264183,11.5475,,663,0.0796749995,13.9431227338871
153,458,150.6625867,-34.0264383,11.5575,,665,0.0800299995,14.00524772418
154,459,150.66258,-34.02646,11.57,,667,0.0798749995,13.9781227284183
155,460,150.662575,-34.0264817,11.605,,670,0.0803599995,14.0629977151566
156,461,150.6625683,-34.0265017,11.57,,672,0.0801699995,14.0297477203519
157,462,150.6625617,-34.0265217,11.5325,,674,0.0802149995,14.0376227191215
158,463,150.6625533,-34.02654,11.5025,,677,0.0799399995,13.989497726641
159,464,150.662535,-34.0265483,11.4775,,679,0.0793249995,13.8818727434574
160,465,150.662515,-34.0265483,11.455,,682,0.0791749995,13.8556227475589
161,466,150.6624983,-34.02654,11.4525,,684,0.0786949995,13.7716227606839
162,467,150.6624917,-34.026525,11.4475,,686,0.07819,13.6832478619925
163,468,150.662495,-34.0265067,11.46,,688,0.078065,13.6613728654105
164,469,150.6625,-34.02649,11.475,,691,0.07831,13.7042478587113
165,470,150.6625067,-34.0264717,11.505,,693,0.0780350005,13.6561229537308
166,471,150.6625117,-34.0264517,11.5425,,696,0.0779700005,13.6447479555081
167,472,150.6625167,-34.0264317,11.57,,698,0.0778350005,13.6211229591995
168,473,150.6625217,-34.02641,11.605,,700,0.0774700005,13.55724796918
169,474,150.6625283,-34.0263867,11.65,,703,0.0772200005,13.5134979760159
170,475,150.662535,-34.0263633,11.6875,,704,0.0767850005,13.4373729879105
171,476,150.6625417,-34.0263383,11.7175,,706,0.0769250005,13.4618729840823
172,477,150.6625467,-34.026315,11.74,,709,0.0768100005,13.4417479872269
173,478,150.6625533,-34.0262917,11.74,,711,0.0763650005,13.3638729993948
174,479,150.66256,-34.0262683,11.7225,,713,0.0762350005,13.3411230029495
175,480,150.6625667,-34.026245,11.6975,,716,0.0759150005,13.2851230116995
176,481,150.662575,-34.0262217,11.6925,,718,0.0762000005,13.3349980039066
177,482,150.6625817,-34.0261983,11.71,,720,0.0761400005,13.3244980055472
