,Time,Lon,Lat
270,269,150.66325,-34.0246817
271,270,150.66324,-34.0247183
272,271,150.6632317,-34.0247533
273,272,150.6632217,-34.0247883
274,273,150.6632133,-34.024825
275,274,150.6632033,-34.02486
276,275,150.663195,-34.0248967
277,276,150.6631833,-34.0249333
278,277,150.6631733,-34.02497
279,278,150.6631617,-34.0250067
280,279,150.66315,-34.0250433
281,280,150.6631417,-34.02508
282,281,150.663135,-34.0251183
283,282,150.6631267,-34.025155
284,283,150.6631183,-34.0251933
285,284,150.6631083,-34.0252317
286,285,150.6631,-34.02527
287,286,150.6630917,-34.02531
288,287,150.66308,-34.0253483
289,288,150.6630683,-34.0253867
290,289,150.6630583,-34.025425
291,290,150.6630483,-34.0254633
292,291,150.66304,-34.0255017
293,292,150.66303,-34.02554
294,293,150.6630217,-34.0255783
295,294,150.6630117,-34.0256167
296,295,150.6630017,-34.0256533
297,296,150.6629933,-34.0256933
298,297,150.6629833,-34.0257317
299,298,150.662975,-34.0257683
300,299,150.662965,-34.0258067
301,300,150.6629567,-34.025845
302,301,150.6629483,-34.0258817
303,302,150.66294,-34.0259183
304,303,150.66293,-34.025955
305,304,150.6629217,-34.0259917
306,305,150.6629133,-34.0260267
307,306,150.662905,-34.0260617
308,307,150.6628967,-34.0260983
309,308,150.6628883,-34.0261333
310,309,150.66288,-34.02617
311,310,150.6628717,-34.026205
312,311,150.6628633,-34.02624
313,312,150.662855,-34.0262767
314,313,150.6628483,-34.02631
315,314,150.6628417,-34.0263417
316,315,150.6628333,-34.0263717
317,316,150.662825,-34.0264
318,317,150.6628183,-34.0264283
319,318,150.6628117,-34.026455
320,319,150.6628033,-34.02648
321,320,150.6627967,-34.0265033
322,321,150.6627917,-34.026525
323,322,150.6627867,-34.0265433
324,323,150.6627833,-34.0265567
325,324,150.66278,-34.0265667
326,325,150.6627767,-34.026575
327,326,150.6627733,-34.0265867
328,327,150.6627683,-34.0265967
329,328,150.66276,-34.0266067
330,329,150.66275,-34.026615
331,330,150.6627367,-34.0266183
332,331,150.6627233,-34.0266167
333,332,150.6627117,-34.02661
334,333,150.6627067,-34.0265983
335,334,150.6627067,-34.0265867
336,335,150.66271,-34.026575
337,336,150.6627133,-34.0265617
338,337,150.6627167,-34.0265467
339,338,150.66272,-34.02653
340,339,150.662725,-34.0265133
341,340,150.66273,-34.0264933
342,341,150.662735,-34.026475
343,342,150.66274,-34.0264533
344,343,150.6627467,-34.0264317
345,344,150.6627517,-34.02641
346,345,150.6627583,-34.0263883
347,346,150.6627633,-34.0263667
348,347,150.66277,-34.026345
349,348,150.6627767,-34.0263217
350,349,150.6627817,-34.0262983
351,350,150.6627883,-34.026275
352,351,150.6627933,-34.0262517
353,352,150.6627983,-34.0262283
354,353,150.662805,-34.0262033
355,354,150.6628117,-34.02618
356,355,150.6628167,-34.0261567
357,356,150.6628233,-34.0261317
358,357,150.66283,-34.0261067
359,358,150.6628367,-34.0260833
360,359,150.6628433,-34.0260617
361,360,150.66285,-34.0260383
362,361,150.6628567,-34.0260167
363,362,150.662865,-34.0259933
364,363,150.6628683,-34.025975
365,364,150.6628683,-34.02596
366,365,150.6628617,-34.0259467
367,366,150.6628467,-34.025935
368,367,150.6628283,-34.0259317
369,368,150.66281,-34.025935
370,369,150.662795,-34.0259483
371,370,150.662785,-34.025965
372,371,150.66278,-34.025985
373,372,150.662775,-34.026005
374,373,150.66277,-34.026025
375,374,150.6627667,-34.0260467
376,375,150.6627633,-34.0260667
377,376,150.66276,-34.0260883
378,377,150.6627567,-34.02611
379,378,150.6627533,-34.0261317
380,379,150.6627483,-34.0261533
381,380,150.6627433,-34.026175
382,381,150.66274,-34.0261967
383,382,150.662735,-34.02622
384,383,150.6627317,-34.02624
385,384,150.6627283,-34.0262617
386,385,150.662725,-34.0262817
387,386,150.66272,-34.0263017
388,387,150.6627167,-34.0263217
389,388,150.6627133,-34.0263433
390,389,150.6627083,-34.0263633
391,390,150.6627033,-34.026385
392,391,150.6626983,-34.0264067
393,392,150.6626933,-34.0264267
394,393,150.6626883,-34.0264467
395,394,150.662685,-34.026465
396,395,150.6626833,-34.0264833
397,396,150.66268,-34.0265
398,397,150.662675,-34.0265183
399,398,150.6626667,-34.0265317
400,399,150.6626533,-34.0265417
401,400,150.6626367,-34.0265467
402,401,150.6626217,-34.0265433
403,402,150.66261,-34.026535
404,403,150.662605,-34.0265233
405,404,150.66261,-34.02651
406,405,150.6626183,-34.0264967
407,406,150.662625,-34.0264883
408,407,150.66263,-34.0264783
409,408,150.6626333,-34.0264667
410,409,150.6626367,-34.026455
411,410,150.66264,-34.0264433
412,411,150.662645,-34.0264283
413,412,150.66265,-34.0264117
414,413,150.662655,-34.0263967
415,414,150.6626583,-34.02638
416,415,150.662665,-34.0263633
417,416,150.66267,-34.026345
418,417,150.662675,-34.0263267
419,418,150.66268,-34.0263083
420,419,150.6626867,-34.02629
421,420,150.6626933,-34.0262717
422,421,150.6627,-34.0262533
423,422,150.6627067,-34.026235
424,423,150.6627117,-34.026215
425,424,150.6627167,-34.026195
426,425,150.66272,-34.0261767
427,426,150.6627233,-34.0261567
428,427,150.6627283,-34.0261367
429,428,150.6627317,-34.0261167
430,429,150.6627367,-34.0260967
431,430,150.6627417,-34.0260783
432,431,150.6627467,-34.02606
433,432,150.6627517,-34.0260433
434,433,150.6627567,-34.0260267
435,434,150.6627617,-34.0260083
436,435,150.6627667,-34.0259933
437,436,150.66277,-34.0259767
438,437,150.6627717,-34.02596
439,438,150.66277,-34.0259467
440,439,150.6627617,-34.0259333
441,440,150.6627483,-34.0259233
442,441,150.6627317,-34.0259217
443,442,150.662715,-34.0259267
444,443,150.662705,-34.02594
445,444,150.6627,-34.0259533
446,445,150.6626967,-34.0259683
447,446,150.6626933,-34.025985
448,447,150.66269,-34.0260017
449,448,150.662685,-34.02602
450,449,150.6626817,-34.0260383
451,450,150.6626783,-34.0260567
452,451,150.6626767,-34.026075
453,452,150.6626733,-34.026095
454,453,150.6626683,-34.0261133
455,454,150.6626633,-34.0261333
456,455,150.6626583,-34.0261533
457,456,150.662655,-34.026175
458,457,150.66265,-34.026195
459,458,150.662645,-34.0262167
460,459,150.66264,-34.0262383
461,460,150.662635,-34.02626
462,461,150.66263,-34.02628
463,462,150.6626233,-34.0263017
464,463,150.6626183,-34.0263233
465,464,150.6626117,-34.026345
466,465,150.6626067,-34.0263667
467,466,150.6626,-34.0263883
468,467,150.662595,-34.0264083
469,468,150.66259,-34.02643
470,469,150.6625833,-34.02645
471,470,150.6625783,-34.02647
472,471,150.6625733,-34.02649
473,472,150.6625667,-34.0265083
474,473,150.6625583,-34.0265267
475,474,150.662545,-34.0265417
476,475,150.6625267,-34.02655
477,476,150.66251,-34.0265483
478,477,150.6624967,-34.0265383
479,478,150.6624917,-34.026525
480,479,150.662495,-34.0265083
481,480,150.6625017,-34.0264933
482,481,150.6625083,-34.0264783
483,482,150.6625133,-34.02646
484,483,150.6625183,-34.0264417
485,484,150.6625217,-34.0264233
486,485,150.6625267,-34.0264033
487,486,150.6625317,-34.026385
488,487,150.6625367,-34.026365
489,488,150.6625417,-34.026345
490,489,150.6625467,-34.026325
491,490,150.6625533,-34.026305
492,491,150.6625583,-34.026285
493,492,150.662565,-34.026265
494,493,150.66257,-34.026245
495,494,150.6625767,-34.0262233
496,495,150.662585,-34.0262033
497,496,150.6625917,-34.0261817
498,497,150.6625983,-34.02616
499,498,150.662605,-34.0261383
500,499,150.6626117,-34.0261167
501,500,150.6626183,-34.026095
502,501,150.662625,-34.0260733
503,502,150.6626333,-34.0260517
504,503,150.66264,-34.0260317
505,504,150.6626483,-34.0260117
506,505,150.6626533,-34.0259933
507,506,150.6626583,-34.0259733
508,507,150.66266,-34.025955
509,508,150.662655,-34.0259367
510,509,150.6626417,-34.0259233
511,510,150.662625,-34.0259167
512,511,150.662605,-34.02592
513,512,150.6625883,-34.02593
514,513,150.6625783,-34.025945
515,514,150.6625717,-34.0259617
516,515,150.66257,-34.02598
517,516,150.6625667,-34.0259983
518,517,150.6625633,-34.0260167
519,518,150.66256,-34.026035
520,519,150.6625567,-34.0260533
521,520,150.6625533,-34.0260717
522,521,150.66255,-34.02609
523,522,150.662545,-34.02611
524,523,150.6625417,-34.02613
525,524,150.6625383,-34.02615
526,525,150.6625333,-34.02617
527,526,150.66253,-34.02619
528,527,150.6625267,-34.02621
529,528,150.6625233,-34.0262317
530,529,150.6625183,-34.0262517
531,530,150.662515,-34.0262733
532,531,150.6625083,-34.0262933
533,532,150.6625033,-34.0263133
534,533,150.6624983,-34.026335
535,534,150.662495,-34.026355
536,535,150.66249,-34.026375
537,536,150.662485,-34.0263967
538,537,150.66248,-34.0264167
539,538,150.6624767,-34.0264383
540,539,150.6624717,-34.0264583
541,540,150.6624683,-34.0264783
542,541,150.6624633,-34.0264983
543,542,150.6624583,-34.0265167
544,543,150.662445,-34.02653
545,544,150.6624283,-34.0265383
546,545,150.66241,-34.026535
547,546,150.6623967,-34.0265233
548,547,150.662395,-34.026505
549,548,150.6624,-34.0264867
550,549,150.6624067,-34.0264683
551,550,150.6624117,-34.0264483
552,551,150.6624183,-34.0264267
553,552,150.662425,-34.0264033
554,553,150.66243,-34.02638
555,554,150.6624367,-34.026355
556,555,150.6624417,-34.02633
557,556,150.6624483,-34.026305
558,557,150.6624533,-34.0262817
559,558,150.66246,-34.0262583
560,559,150.6624667,-34.026235
561,560,150.6624717,-34.0262117
562,561,150.6624767,-34.0261883
563,562,150.6624833,-34.026165
564,563,150.6624883,-34.0261417
565,564,150.662495,-34.02612
566,565,150.6625017,-34.0260967
567,566,150.6625083,-34.0260717
568,567,150.6625133,-34.0260483
569,568,150.66252,-34.0260233
570,569,150.6625267,-34.026
571,570,150.6625333,-34.0259767
572,571,150.66254,-34.0259533
573,572,150.6625467,-34.02593
574,573,150.6625467,-34.02591
575,574,150.6625417,-34.0258933
576,575,150.6625267,-34.02588
577,576,150.662505,-34.025875
578,577,150.6624833,-34.0258833
579,578,150.66247,-34.0259
580,579,150.662465,-34.02592
581,580,150.6624583,-34.02594
582,581,150.6624517,-34.02596
583,582,150.6624467,-34.02598
584,583,150.6624417,-34.0260017
585,584,150.6624383,-34.0260233
586,585,150.662435,-34.0260433
587,586,150.66243,-34.026065
588,587,150.662425,-34.026085
589,588,150.6624217,-34.026105
590,589,150.6624183,-34.0261267
591,590,150.662415,-34.0261467
592,591,150.66241,-34.0261683
593,592,150.662405,-34.02619
594,593,150.6624017,-34.02621
595,594,150.6623967,-34.0262317
596,595,150.66239,-34.0262517
597,596,150.662385,-34.0262733
598,597,150.6623783,-34.026295
599,598,150.6623733,-34.0263167
600,599,150.6623667,-34.0263383
601,600,150.66236,-34.02636
602,601,150.6623533,-34.02638
603,602,150.6623483,-34.0264017
604,603,150.6623433,-34.0264217
605,604,150.6623383,-34.0264433
606,605,150.6623367,-34.0264617
607,606,150.66233,-34.02648
608,607,150.66232,-34.0264933
609,608,150.6623067,-34.0265
610,609,150.66229,-34.0264983
611,610,150.6622783,-34.02649
612,611,150.6622733,-34.0264733
613,612,150.6622767,-34.0264567
614,613,150.6622817,-34.02644
615,614,150.6622883,-34.0264217
616,615,150.662295,-34.0264017
617,616,150.6623017,-34.0263817
618,617,150.6623083,-34.02636
619,618,150.662315,-34.0263383
620,619,150.6623217,-34.026315
621,620,150.6623283,-34.0262933
622,621,150.662335,-34.0262717
623,622,150.66234,-34.0262483
624,623,150.6623467,-34.026225
625,624,150.662355,-34.0262017
626,625,150.6623617,-34.0261783
627,626,150.6623683,-34.0261567
