ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 
153.0-34.02493445,150.66319307,3.2160000801086426,110511,27.0,3.93
155.0-34.02492944,150.66319852,3.2160000801086426,110512,26.0,3.99
157.0-34.02492655,150.66319991,3.2160000801086426,110513,23.0,4.13
158.0-34.02492431,150.66320007,3.2160000801086426,110514,18.0,4.07
160.0-34.02492293,150.66320003,3.2160000801086426,110515,9.0,5.6
162.0-34.02492283,150.66319904,3.2160000801086426,110516,4.0,6.9
163.0-34.02492527,150.66320123,3.2160000801086426,110517,4.0,7.7
165.0-34.02493152,150.66320377,3.2160000801086426,110518,15.0,8.01
167.0-34.02494,150.6632018,3.2160000801086426,110519,25.0,8.48
168.0-34.02494505,150.66319863,3.2160000801086426,110520,30.0,8.64
61170.0-34.02494465,150.66319639,3.2160000801086426,110521,30.0,8.6
172.0-34.02494556,150.66319593,3.2160000801086426,110522,30.0,8.55
173.0-34.02494533,150.66319572,3.2160000801086426,110523,30.0,8.55
175.0-34.02494686,150.66319637,3.2160000801086426,110524,30.0,8.53
177.0-34.02495003,150.6631983,3.2160000801086426,110525,30.0,8.54
178.0-34.02495258,150.66319885,3.2160000801086426,110526,30.0,8.52
180.0-34.02495133,150.66319858,3.2160000801086426,110527,30.0,8.53
182.0-34.02495107,150.66319792,3.2160000801086426,110528,31.0,8.49
183.0-34.02495022,150.66319734,3.2160000801086426,110529,31.0,8.51
185.0-34.02495103,150.66319799,3.2160000801086426,110530,31.0,8.48
187.0-34.02495072,150.66319795,3.2160000801086426,110531,31.0,8.47
188.0-34.02494879,150.66319673,3.2160000801086426,110532,31.0,8.47
190.0-34.02494737,150.66319493,3.2160000801086426,110533,31.0,8.47
192.0-34.0249472,150.66319136,3.2160000801086426,110534,32.0,8.46
193.0-34.02494654,150.66318904,3.2160000801086426,110535,32.0,8.46
195.0-34.02494872,150.66319044,3.2160000801086426,110536,32.0,8.42
197.0-34.02495096,150.66319112,3.2160000801086426,110537,32.0,8.41
198.0-34.02495197,150.66319151,3.2160000801086426,110538,32.0,8.4
200.0-34.02495233,150.66319157,3.2160000801086426,110539,32.0,8.43
202.0-34.02495235,150.66319176,3.2160000801086426,110540,32.0,8.42
203.0-34.02495246,150.66319165,3.2160000801086426,110541,32.0,8.4
205.0-34.02495255,150.66319154,3.2160000801086426,110542,32.0,8.38
207.0-34.02495258,150.66319143,3.2160000801086426,110543,32.0,8.39
208.0-34.02495262,150.66319134,3.2160000801086426,110544,33.0,8.39
36210.0-34.02495262,150.66319129,3.2160000801086426,110545,33.0,8.36
212.0-34.02495261,150.66319127,3.2160000801086426,110546,33.0,8.32
213.0-34.02495261,150.66319122,3.2160000801086426,110547,33.0,8.34
215.0-34.02495261,150.66319118,3.2160000801086426,110548,36.0,8.42
217.0-34.0249526,150.66319114,3.2160000801086426,110549,46.0,8.71
218.0-34.0249526,150.66319109,3.2160000801086426,110550,90.0,7.72
220.0-34.02495261,150.66319107,3.2160000801086426,110551,162.0,5.71
222.0-34.02495259,150.66319104,3.2160000801086426,110552,227.0,3.51
223.0-34.02495255,150.66319099,3.2160000801086426,110553,221.0,3.5
225.0-34.02495252,150.66319096,3.2160000801086426,110554,222.0,3.51
227.0-34.02495249,150.66319092,3.2160000801086426,110555,189.0,4.62
228.0-34.02495247,150.6631909,3.2160000801086426,110556,151.0,5.59
44.52-34.02495246,150.66319085,3.2160000801086426,110557,76.0,7.0
48232.0-34.02495248,150.6631908,3.2160000801086426,110558,33.0,8.33
233.0-34.0249525,150.66319076,3.2160000801086426,110559,33.0,8.34
235.0-34.0249525,150.66319074,3.2160000801086426,110600,33.0,8.36
237.0-34.02495249,150.66319071,3.2160000801086426,110601,33.0,8.33
238.0-34.02495249,150.66319069,3.2160000801086426,110602,33.0,8.3
28240.0-34.02495248,150.66319066,3.2160000801086426,110603,33.0,8.25
242.0-34.02495246,150.66319064,3.2160000801086426,110604,33.0,8.26
243.0-34.02495246,150.66319064,3.2160000801086426,110605,33.0,8.28
