,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,1.5mHCPcon
515,2108,150.662225,-34.025975,4.4,3.3,0.61,2.2,11.9,7.1,-2.14,-4.95,3.85
516,2112,150.66223,-34.02595,4.4,3.6,0.62,2.31,12.5,7.9,-2.21,-4.97,4
517,2116,150.662235,-34.025925,4.5,4.1,0.63,2.39,12.5,7.9,-2.21,-4.89,4.3
518,2120,150.66224,-34.0259,4.6,4.6,0.69,2.44,12.6,7.9,-2.21,-4.79,4.6
519,2124,150.6622433,-34.0258767,5,5.1,0.72,2.5,13,8.3,-2.21,-4.67,5.05
520,2128,150.6622483,-34.02585,6.2,5.6,0.69,2.52,13.5,9,-2.23,-4.62,5.9
521,2132,150.6622533,-34.025825,6.4,5.9,0.69,2.53,13.5,9.3,-2.28,-4.67,6.15
522,2136,150.6622583,-34.0258,5.4,5.3,0.82,2.59,13.6,8.9,-2.32,-4.66,5.35
523,2140,150.6622633,-34.025775,5.5,5.7,0.85,2.56,13.9,9.2,-2.34,-4.78,5.6
524,2144,150.6622667,-34.0257483,6.8,6.1,0.7,2.44,14.8,9.8,-2.46,-5.16,6.45
525,2148,150.66227,-34.025725,6.8,6.2,0.71,2.39,15.4,10.3,-2.51,-5.36,6.5
526,2152,150.662275,-34.0256983,7.7,6.7,0.51,2.21,15.8,10.8,-2.58,-5.68,7.2
527,2156,150.6622783,-34.0256733,8.3,6.6,0.43,2.13,16.5,11.6,-2.64,-6.07,7.45
528,2160,150.6622817,-34.02565,7.6,6.1,0.54,2.18,16.3,11.5,-2.7,-6.22,6.85
529,2164,150.662285,-34.0256233,7.5,5.4,0.47,2.25,17.8,11.9,-2.94,-6.65,6.45
530,2168,150.6622883,-34.0255983,6.9,4.7,0.41,2.31,18,11.5,-3.04,-6.89,5.8
531,2172,150.6622917,-34.0255733,7.2,4.7,0.39,2.37,18.5,11.3,-3.2,-7.23,5.95
532,2176,150.6622967,-34.0255483,7.6,4.4,0.3,2.52,19.9,12.3,-3.44,-7.58,6
533,2180,150.6623,-34.0255217,8.8,4.4,0.15,2.65,21,13,-3.65,-7.91,6.6
534,2184,150.6623033,-34.0254967,9.9,5.3,0.08,2.76,21.9,14.2,-3.79,-8.09,7.6
535,2188,150.6623083,-34.02547,10.6,5.9,0.06,2.92,22.7,15,-3.92,-8.34,8.25
536,2192,150.662315,-34.0254433,9.4,5,0.18,3.17,22.7,14.9,-4,-8.29,7.2
537,2196,150.6623183,-34.025415,8.8,4.6,0.23,3.36,22.5,14.1,-4.08,-8.26,6.7
538,2200,150.6623233,-34.0253883,8.6,4.3,0.17,3.36,22.6,13.9,-4.06,-8.28,6.45
539,2204,150.6623267,-34.0253617,8.8,4.6,0.17,3.21,22.5,13.9,-4.07,-8.31,6.7
540,2208,150.6623317,-34.0253333,8.8,4.2,0.15,3.33,22.8,13.7,-4.1,-8.35,6.5
541,2212,150.6623367,-34.025305,9.5,5.1,0.1,3.2,22.9,14.2,-4.13,-8.5,7.3
542,2216,150.66234,-34.0252767,10.4,4.8,0.01,3.27,23.8,14.8,-4.24,-8.68,7.6
543,2220,150.6623433,-34.0252483,10.5,5.3,-0.01,3.12,23.8,15.1,-4.21,-8.82,7.9
544,2224,150.6623467,-34.0252217,9.8,4.7,0.1,3.02,23.4,15,-4.12,-8.79,7.25
545,2228,150.66235,-34.0251933,9.8,5.5,0.04,2.83,22.4,14.3,-4.01,-8.76,7.65
546,2232,150.662355,-34.025165,9.5,5.2,0.05,2.81,22.6,13.8,-4.05,-8.78,7.35
547,2236,150.66236,-34.0251367,9.1,5.2,0.21,2.97,22.8,14.2,-4.12,-8.64,7.15
548,2240,150.6623633,-34.0251083,9.3,5.2,0.14,3.05,23.3,14.5,-4.29,-8.94,7.25
549,2244,150.6623683,-34.0250817,10,4.8,-0.01,3.05,23.6,14.6,-4.47,-9.28,7.4
550,2248,150.6623717,-34.0250533,10.2,5.1,-0.15,3.01,24,14.3,-4.69,-9.76,7.65
551,2252,150.662375,-34.025025,10.2,4.8,-0.08,3.11,24.4,14.8,-4.82,-10.06,7.5
552,2256,150.66238,-34.0249967,9.8,5.1,0.01,3.29,25.2,15.3,-4.97,-10.3,7.45
553,2260,150.662385,-34.0249683,10.1,5.6,0.04,3.28,25.3,16.1,-4.98,-10.29,7.85
554,2264,150.6623883,-34.02494,9.7,5,-0.02,3.12,24.9,15.8,-4.87,-10.17,7.35
555,2268,150.662395,-34.0249117,10,5.1,-0.13,3.1,24.9,15.7,-4.96,-10.43,7.55
556,2272,150.6624,-34.0248817,10.1,4.1,-0.14,3.37,26.5,15.5,-5.22,-10.65,7.1
557,2276,150.6624067,-34.0248533,8.3,3.5,0.17,3.73,26.8,14.8,-5.24,-9.87,5.9
558,2280,150.6624133,-34.0248267,7.2,2.2,0.35,4.03,27.8,14.3,-5.23,-9.24,4.7
559,2284,150.66242,-34.0248,9.2,2.5,0.25,4.09,26.7,15.3,-4.71,-8.8,5.85
560,2288,150.6624267,-34.024775,10,2.9,0.12,3.72,24.8,14.8,-4.12,-8.22,6.45
561,2292,150.66243,-34.02475,6.6,3.5,0.34,3.04,18.6,12.1,-3.18,-7.05,5.05
562,2296,150.6624233,-34.024725,5.9,2,0.12,2.68,18.6,10.1,-3.33,-7.39,3.95
563,2300,150.6624033,-34.0247083,6.3,1.7,0.02,2.81,19.3,10.9,-3.54,-7.87,4
564,2304,150.662375,-34.0247033,7.8,2,-0.04,3.06,20.5,11.7,-3.87,-8.39,4.9
565,2308,150.662345,-34.0247133,8.5,3,-0.14,2.98,20.5,11.7,-3.79,-8.48,5.75
566,2312,150.662325,-34.0247333,8.9,3.5,-0.06,2.8,19.9,11.6,-3.6,-8.27,6.2
567,2316,150.662315,-34.0247583,7.8,3.7,0.03,2.86,20,12.1,-3.64,-8.16,5.75
568,2320,150.66231,-34.024785,8.2,3.5,0.07,2.95,20.2,11.7,-3.66,-7.93,5.85
569,2324,150.6623033,-34.0248117,7.5,3.4,0.24,2.82,19.6,11.5,-3.42,-7.45,5.45
570,2328,150.6622967,-34.02484,8.4,4.1,0.31,2.97,20.1,12.6,-3.55,-7.46,6.25
571,2332,150.66229,-34.02487,9.5,4.1,0.23,3.39,23.2,13.9,-4.1,-8.06,6.8
572,2336,150.662285,-34.0249,8.9,4.2,0.3,3.91,25.3,14.7,-4.64,-8.65,6.55
573,2340,150.6622783,-34.02493,8.6,4.2,0.32,4.02,26.3,14.9,-5.01,-9.25,6.4
574,2344,150.6622717,-34.02496,8.5,5.3,0.24,3.5,25.2,14.7,-5,-9.71,6.9
575,2348,150.662265,-34.02499,9.9,4.9,0.04,3.68,26.7,15.3,-5.24,-10.17,7.4
576,2352,150.6622583,-34.0250217,10.1,5.4,0.02,3.39,25.8,15.4,-5.07,-10.14,7.75
577,2356,150.6622517,-34.0250517,10.4,5.4,0.04,3.57,26.6,16,-5.21,-10.2,7.9
578,2360,150.6622467,-34.0250833,10.9,6.2,0.01,3.57,25.7,15.8,-4.97,-9.84,8.55
579,2364,150.66224,-34.0251133,10.5,6.5,0.05,3.3,24,15.3,-4.5,-9.2,8.5
580,2368,150.6622333,-34.025145,10.3,6.6,0.06,3.06,22.6,14.9,-4.14,-8.77,8.45
581,2372,150.662225,-34.0251767,10.9,7.5,0.07,2.81,22.1,15.2,-3.91,-8.53,9.2
582,2376,150.6622183,-34.0252067,11.1,7.9,0.08,2.88,23,15.3,-4.03,-8.56,9.5
583,2380,150.66221,-34.0252383,11.2,7.5,0.07,3.1,23.5,16.1,-4.13,-8.52,9.35
584,2384,150.662205,-34.0252683,11.6,7.2,-0.02,3.18,23.4,15.9,-4.19,-8.62,9.4
585,2388,150.6621983,-34.0253,11.2,7.2,-0.06,3.12,22.8,15,-4.12,-8.54,9.2
586,2392,150.6621933,-34.0253317,10.5,6.6,0.04,3.11,22.3,15,-4.04,-8.48,8.55
587,2396,150.662185,-34.0253633,9.9,6.1,0.06,3.32,23,14.7,-4.18,-8.56,8
588,2400,150.6621783,-34.025395,9.7,5.6,0.13,3.39,23.3,15.4,-4.12,-8.38,7.65
589,2404,150.6621717,-34.025425,10.4,5.9,0.15,3.3,23,14.8,-4.04,-8.21,8.15
590,2408,150.662165,-34.0254567,10.4,6.3,0.15,3.33,23.3,14.9,-4.15,-8.25,8.35
591,2412,150.6621583,-34.0254883,10.6,6.6,0.09,3.11,23.2,15.1,-4,-8.32,8.6
592,2416,150.6621517,-34.0255183,10.8,7.4,0.06,2.79,22,14.5,-3.78,-8.15,9.1
593,2420,150.662145,-34.0255483,10.3,7.1,0.09,2.53,20.4,13.8,-3.53,-7.9,8.7
594,2424,150.6621383,-34.0255783,9.9,7,0.21,2.48,19.8,13.5,-3.39,-7.59,8.45
595,2428,150.6621317,-34.0256083,8.8,6.4,0.3,2.45,18.7,12.4,-3.31,-7.36,7.6
596,2432,150.662125,-34.0256367,8.4,6.5,0.36,2.41,18.2,12.5,-3.11,-7.06,7.45
597,2436,150.6621183,-34.0256667,8.8,7.1,0.39,2.23,17.9,11.9,-2.99,-6.78,7.95
598,2440,150.6621117,-34.025695,8.2,6.9,0.5,2.34,17.8,12.2,-2.91,-6.43,7.55
599,2444,150.6621067,-34.0257217,8,7.1,0.55,2.29,17.1,11.7,-2.75,-6.11,7.55
600,2448,150.6621017,-34.02575,8,7.4,0.59,2.23,16.4,11.4,-2.6,-5.88,7.7
601,2452,150.6620967,-34.0257767,7.6,6.9,0.68,2.33,15.8,11,-2.52,-5.46,7.25
602,2456,150.6620917,-34.0258033,6.9,5.9,0.6,2.43,15.9,10.6,-2.56,-5.37,6.4
603,2460,150.662085,-34.0258283,6.5,5.5,0.63,2.38,14.6,9.5,-2.39,-5.07,6
604,2464,150.6620783,-34.0258567,6.2,5.7,0.67,2.47,14.1,8.8,-2.36,-4.9,5.95
605,2468,150.6620717,-34.0258833,5.8,5.2,0.69,2.5,13.8,8.5,-2.36,-4.89,5.5
606,2472,150.6620667,-34.0259133,5.5,5.1,0.7,2.49,13.6,8.4,-2.26,-4.78,5.3
607,2476,150.6620617,-34.0259417,5.8,5.3,0.6,2.35,13.2,8.4,-2.22,-4.92,5.55
608,2480,150.662055,-34.0259717,6.1,4.8,0.57,2.24,13.7,8.5,-2.28,-5.1,5.45
609,2484,150.66205,-34.0260017,6.2,4.4,0.5,2.3,14.1,8.6,-2.4,-5.26,5.3
610,2488,150.662045,-34.0260317,5.6,4,0.51,2.32,13.8,8.4,-2.36,-5.26,4.8
611,2492,150.66204,-34.0260617,0.7,2.4,0.52,2.3,15.1,7.5,-2.43,-5.34,1.55
612,2496,150.662035,-34.0260933,4.8,2.7,0.5,2.34,14.1,8.2,-2.5,-5.54,3.75
613,2500,150.6620317,-34.0261217,4.5,2.6,0.48,2.47,15,8.6,-2.68,-5.73,3.55
614,2504,150.6620283,-34.02615,3.9,2.2,0.59,2.75,15.2,7.9,-2.85,-5.8,3.05
615,2508,150.6620267,-34.0261767,3.9,1.8,0.61,2.96,15.7,8.3,-3.03,-5.84,2.85
616,2512,150.6620233,-34.0262017,4.2,2.1,0.56,2.97,16,8.4,-3.11,-5.9,3.15
617,2516,150.662015,-34.0262233,3.8,2,0.61,3.04,16.4,8,-3.19,-5.98,2.9
618,2520,150.661995,-34.026235,4.1,2.3,0.61,3.08,16.8,7.8,-3.25,-5.99,3.2
619,2524,150.6619717,-34.026235,4.6,2.3,0.66,3.21,16.9,8.4,-3.29,-5.94,3.45
620,2528,150.6619517,-34.0262217,4.6,2.4,0.69,3.35,16.2,7.7,-3.24,-5.89,3.5
621,2532,150.661945,-34.0262,4.9,2.6,0.65,3.33,16,7.3,-3.22,-5.88,3.75
622,2536,150.6619483,-34.026175,4.6,2.1,0.66,3.31,16.5,8.1,-3.21,-5.83,3.35
623,2540,150.6619533,-34.0261467,4.2,2.1,0.6,3.1,16.1,8.3,-3.15,-5.81,3.15
624,2544,150.66196,-34.0261183,4.9,2.5,0.52,2.93,16.1,8.1,-3.06,-5.88,3.7
625,2548,150.6619667,-34.0260883,4.7,2.7,0.48,2.79,15.5,8.4,-2.96,-5.95,3.7
626,2552,150.6619733,-34.0260567,5,2.6,0.47,2.7,15.5,8.4,-2.86,-5.89,3.8
627,2556,150.6619783,-34.026025,4.8,2.2,0.51,2.63,15.4,8.4,-2.72,-5.78,3.5
628,2560,150.661985,-34.0259917,5.2,3,0.5,2.51,14.7,8.5,-2.6,-5.63,4.1
629,2564,150.6619917,-34.02596,5.3,2.8,0.49,2.47,14.5,8.6,-2.51,-5.48,4.05
630,2568,150.6619983,-34.0259267,5.6,2.8,0.45,2.26,14.2,8.5,-2.37,-5.36,4.2
631,2572,150.662005,-34.025895,5.7,3.8,0.53,2.2,13.8,8.4,-2.29,-5.23,4.75
632,2576,150.6620133,-34.025865,5.3,4.1,0.58,2.21,14.1,9.1,-2.26,-5.06,4.7
633,2580,150.66202,-34.0258333,5.7,4.9,0.7,2.34,14.2,9.5,-2.26,-4.91,5.3
634,2584,150.6620283,-34.0258033,6.1,5.6,0.76,2.48,14.9,10,-2.32,-4.85,5.85
635,2588,150.662035,-34.0257733,5.7,5.8,0.8,2.62,14.8,9.8,-2.34,-4.74,5.75
636,2592,150.6620417,-34.0257433,6.2,6.5,0.82,2.55,14.8,10.1,-2.26,-4.62,6.35
637,2596,150.66205,-34.0257133,7,6.6,0.73,2.55,16.3,10.9,-2.4,-4.78,6.8
638,2600,150.6620567,-34.025685,7.5,7,0.72,2.55,16.4,11.5,-2.47,-4.93,7.25
639,2604,150.6620633,-34.0256533,7.3,8,0.81,2.53,16.7,11.5,-2.52,-5.13,7.65
640,2608,150.66207,-34.0256233,8,8,0.68,2.48,17.2,11.7,-2.69,-5.6,8
641,2612,150.6620767,-34.025595,7.8,7.6,0.63,2.41,17.4,12.2,-2.76,-5.86,7.7
642,2616,150.6620833,-34.025565,8.6,8,0.54,2.24,17.8,12.7,-2.79,-6.24,8.3
643,2620,150.66209,-34.025535,8.6,7.7,0.5,2.29,18.3,12.5,-2.93,-6.54,8.15
644,2624,150.6620967,-34.025505,9,7.4,0.42,2.22,18.3,13,-3.01,-6.86,8.2
645,2628,150.6621033,-34.0254767,9.6,7.6,0.3,2.28,19.7,13.5,-3.26,-7.34,8.6
646,2632,150.66211,-34.0254483,10.5,8.5,0.2,2.39,20.7,14.1,-3.51,-7.77,9.5
647,2636,150.6621167,-34.02542,10.5,7.7,0.12,2.61,21.4,14.7,-3.77,-8.15,9.1
648,2640,150.6621233,-34.0253917,10.6,7.6,0.09,2.82,22.3,14.7,-3.94,-8.3,9.1
649,2644,150.6621283,-34.0253633,9.9,7,0.09,2.92,22,14,-3.98,-8.27,8.45
650,2648,150.6621367,-34.025335,10.5,6.5,0.04,3.1,22.9,14.4,-4.18,-8.42,8.5
651,2652,150.6621433,-34.0253067,10.8,6.3,-0.05,3.22,23.3,14.8,-4.27,-8.6,8.55
652,2656,150.66215,-34.0252783,10.1,5.9,0.09,3.43,23.6,14.4,-4.37,-8.58,8
653,2660,150.6621567,-34.02525,10.8,6,-0.03,3.45,23.7,14.9,-4.38,-8.55,8.4
654,2664,150.662165,-34.0252233,11.2,6.5,-0.06,3.45,23.5,14.7,-4.36,-8.58,8.85
655,2668,150.6621717,-34.025195,-5.9,3.3,0.06,3.35,22.2,12.5,-4.18,-8.38,-1.3
656,2672,150.6621783,-34.0251683,11.5,6.3,-0.06,3.14,23.2,15.2,-4.18,-8.48,8.9
657,2676,150.6621867,-34.02514,12,7.6,-0.02,3.25,24.1,16,-4.28,-8.47,9.8
658,2680,150.6621917,-34.0251117,11.5,7.6,-0.03,3.3,24.2,15.3,-4.42,-8.75,9.55
659,2684,150.6622,-34.0250833,11.3,7.6,-0.05,3.2,24,15.3,-4.35,-8.82,9.45
660,2688,150.6622067,-34.025055,10.6,7.7,0.01,3.2,23.9,15.3,-4.36,-8.76,9.15
661,2692,150.662215,-34.0250283,11.6,7.3,-0.03,3.3,24.7,15.5,-4.57,-9.11,9.45
662,2696,150.6622217,-34.025,11.9,7.9,-0.06,3.33,25.8,16.4,-4.79,-9.44,9.9
663,2700,150.6622283,-34.0249717,11.5,7.7,-0.03,3.54,26.7,17,-5.1,-9.75,9.6
664,2704,150.6622367,-34.024945,11.5,7.2,-0.13,3.69,26.9,16.3,-5.4,-10.29,9.35
665,2708,150.6622433,-34.0249167,10.7,6.1,-0.13,3.42,25.9,15.6,-5.17,-10.22,8.4
666,2712,150.66225,-34.0248883,11.4,6.4,-0.23,3.36,26,15,-5.25,-10.44,8.9
667,2716,150.6622567,-34.0248617,10.8,5.9,-0.15,3.47,26.5,15.9,-5.17,-10.24,8.35
668,2720,150.6622633,-34.0248333,10.3,5.9,-0.12,3.27,27.2,16.3,-4.87,-9.87,8.1
669,2724,150.66227,-34.024805,10.9,5.5,0,3.56,25.5,15.6,-4.8,-9.32,8.2
670,2728,150.662275,-34.0247783,10.1,5,0.09,3.74,24.7,14.9,-4.62,-8.83,7.55
671,2732,150.6622817,-34.02475,9.5,5,0.14,3.59,23.2,13.5,-4.23,-8.33,7.25
672,2736,150.6622917,-34.0247233,8,4.2,0.24,3.18,20.6,12.9,-3.76,-7.9,6.1
673,2740,150.6623167,-34.0247017,7.4,4.3,0.21,2.93,18.7,11.5,-3.63,-7.8,5.85
674,2744,150.662355,-34.0246917,8.1,4.6,0.06,2.94,19.1,11,-3.78,-8.21,6.35
675,2748,150.6623967,-34.0246933,8.8,4.8,-0.1,2.53,19.1,12,-3.51,-8.32,6.8
676,2752,150.6624267,-34.0246983,8.6,5.6,-0.05,2.13,17.8,12.1,-3.27,-8.08,7.1
677,2756,150.6624333,-34.0247,8.4,5.1,-0.05,2.28,18.2,11.6,-3.4,-8.2,6.75
678,2760,150.6624333,-34.0247,8.5,5.2,-0.08,2.38,18.3,11.8,-3.48,-8.27,6.85
679,2764,150.6624333,-34.0247,8.6,4.8,-0.07,2.35,18.5,11.5,-3.48,-8.28,6.7
680,2768,150.6624333,-34.0247,8.2,5.1,-0.07,2.38,18.5,11.6,-3.48,-8.28,6.65
681,2772,150.6624333,-34.0247,8.1,5.2,-0.06,2.38,18.7,11.8,-3.48,-8.26,6.65
682,2776,150.6624333,-34.0247,8.2,5.2,-0.06,2.38,18.6,11.9,-3.48,-8.3,6.7
683,2780,150.6624333,-34.0247,8.3,5,-0.06,2.37,18.7,11.9,-3.49,-8.28,6.65
684,2784,150.6624333,-34.0247,8.4,4.9,-0.07,2.36,18.5,11.8,-3.49,-8.26,6.65
685,2788,150.6624333,-34.0247,8.8,4.8,-0.07,2.38,18.3,11.3,-3.5,-8.3,6.8
686,2792,150.6624333,-34.0247,8.3,5.1,-0.07,2.37,18.5,11.5,-3.49,-8.27,6.7
687,2796,150.6624333,-34.0247,8.5,5.2,-0.06,2.35,18.5,11.8,-3.49,-8.25,6.85
688,2800,150.6624333,-34.0247,8.9,5.1,-0.06,2.32,18.5,12.1,-3.49,-8.25,7
689,2804,150.6624333,-34.0247,8.9,4.7,-0.06,2.34,18.5,11.7,-3.5,-8.27,6.8
690,2808,150.662435,-34.0247,8.7,4.9,-0.07,2.38,18.5,11.6,-3.49,-8.28,6.8
691,2812,150.6624433,-34.0247017,8.6,5,-0.04,2.45,18.7,12,-3.54,-8.29,6.8
692,2816,150.6624617,-34.024705,9.1,4.2,-0.12,2.59,19.3,11.7,-3.73,-8.46,6.65
693,2820,150.6624833,-34.0247117,8.7,3.6,-0.2,2.71,20,11.6,-3.98,-8.91,6.15
694,2824,150.6625133,-34.0247183,9.2,3,-0.25,2.99,21.6,12.3,-4.19,-9.2,6.1
695,2828,150.66255,-34.0247233,9.3,2.4,-0.29,3.15,22.4,12.9,-4.31,-9.26,5.85
696,2832,150.6625883,-34.02473,9,2.6,-0.26,3.2,22.2,12.8,-4.3,-9.2,5.8
697,2836,150.6626267,-34.0247367,9.9,2.9,-0.22,3.35,23.5,13.5,-4.41,-9.18,6.4
698,2840,150.6626667,-34.0247433,12.2,4.5,-0.18,3.39,26.4,16.7,-4.39,-9.12,8.35
699,2844,150.6627067,-34.0247483,11.8,5.6,-0.13,3.53,25.9,17.5,-4.41,-9.01,8.7
700,2848,150.6627433,-34.0247533,10.2,3.5,-0.18,3.63,25.1,14.7,-4.59,-9.19,6.85
701,2852,150.66278,-34.0247583,9.4,2.8,-0.23,3.78,25.2,14,-4.75,-9.4,6.1
702,2856,150.662815,-34.024765,9.8,3,-0.13,3.78,25.1,13.9,-4.65,-9.25,6.4
703,2860,150.6628517,-34.0247717,8.8,2.3,-0.23,3.77,26.2,14.8,-4.77,-9.36,5.55
704,2864,150.66289,-34.024775,9.6,2.4,-0.21,3.95,26,14.2,-4.97,-9.6,6
705,2868,150.662925,-34.02478,9.1,1.6,-0.2,4.05,26,13.6,-5.12,-9.72,5.35
706,2872,150.66296,-34.0247833,8.6,1.2,-0.16,4.37,26.8,13.9,-5.35,-9.95,4.9
707,2876,150.6629933,-34.0247883,7.9,0.1,-0.14,4.35,26.9,13.4,-5.35,-10.03,4
708,2880,150.6630267,-34.0247933,7.7,0.2,-0.07,4.26,26.2,13.5,-5.25,-9.83,3.95
709,2884,150.6630567,-34.0247983,8.4,1,-0.14,4.2,26,13.1,-5.25,-9.77,4.7
710,2888,150.6630883,-34.0248017,7.3,0.4,-0.02,4.21,25.2,12.4,-5.13,-9.53,3.85
711,2892,150.6631167,-34.024805,6.7,0.4,0,4.15,24.2,11.6,-4.98,-9.26,3.55
712,2896,150.6631433,-34.024805,6.8,0.9,0.02,4.19,24,11.4,-4.92,-9.18,3.85
713,2900,150.66317,-34.0248017,9.4,1.2,-0.31,3.65,22.5,11.4,-4.73,-9.28,5.3
714,2904,150.663195,-34.02479,5.5,1.3,0.29,4.11,24,11.5,-4.85,-8.71,3.4
715,2908,150.6632133,-34.02477,7.4,1.3,0.09,4.37,25.1,12.1,-5.1,-9.22,4.35
716,2912,150.663225,-34.0247467,7.9,1.4,0.06,4.37,26.5,13.4,-5.2,-9.3,4.65
717,2916,150.6632367,-34.0247217,8.1,2.6,-0.02,4.39,27,14.1,-5.45,-9.74,5.35
718,2920,150.663245,-34.0246967,8.8,2.8,-0.03,4.3,27.1,13.8,-5.49,-9.93,5.8
719,2924,150.6632533,-34.02467,8.3,3.6,0.05,4.05,26.9,14.9,-5.26,-9.96,5.95
720,2928,150.6632633,-34.0246417,8.7,5.1,-0.05,3.69,26.1,15,-5.23,-10.22,6.9
721,2932,150.6632733,-34.0246133,10.2,5.9,-0.16,3.46,26.9,15.7,-5.22,-10.51,8.05
722,2936,150.663285,-34.0245833,10,6.5,-0.03,3.38,26.1,16,-5.08,-10.49,8.25
723,2940,150.6632933,-34.0245533,9.3,7,0.01,3.46,25.7,15.4,-5.03,-10.47,8.15
724,2944,150.6633033,-34.0245233,10.2,6.7,-0.21,3.19,25.7,16.3,-4.93,-10.58,8.45
725,2948,150.6633133,-34.0244917,11.8,7.3,-0.36,2.97,25,16.5,-4.71,-10.45,9.55
726,2952,150.6633217,-34.0244617,12,7.4,-0.44,2.6,24,16.1,-4.37,-10.24,9.7
727,2956,150.6633267,-34.02443,12,7.8,-0.38,2.33,22.4,16.2,-4.04,-9.93,9.9
728,2960,150.6633333,-34.0243983,12.3,8.3,-0.45,2.23,21.8,16.4,-3.95,-10.06,10.3
729,2964,150.66334,-34.0243683,12.8,9.1,-0.39,1.85,20.5,16,-3.67,-9.86,10.95
730,2968,150.6633467,-34.0243417,12.4,9.6,-0.34,1.81,19.4,15.5,-3.57,-9.8,11
731,2972,150.66335,-34.02433,12.7,9.6,-0.43,1.65,19.8,16.1,-3.63,-9.93,11.15
732,2976,150.66335,-34.02433,12.7,9.4,-0.42,1.62,20.1,16.2,-3.68,-10.04,11.05
733,2980,150.66335,-34.02433,13.1,9.6,-0.42,1.64,19.9,16.1,-3.69,-10.05,11.35
734,2984,150.66335,-34.02433,13,9.6,-0.42,1.65,20.1,16.1,-3.7,-10.02,11.3
735,2988,150.66335,-34.02433,12.9,9.7,-0.43,1.62,19.8,16.3,-3.7,-10.05,11.3
736,2992,150.66335,-34.02433,12.7,9.6,-0.42,1.65,19.9,16.1,-3.7,-10.06,11.15
737,2996,150.66335,-34.02433,12.7,9.8,-0.42,1.66,20,16.2,-3.7,-10.05,11.25
738,3000,150.66335,-34.02433,12.6,9.8,-0.42,1.63,19.9,16.3,-3.7,-10.04,11.2
739,3004,150.66335,-34.02433,12.5,9.4,-0.42,1.64,20.1,16.6,-3.7,-10.04,10.95
740,3008,150.66335,-34.02433,12.7,9.6,-0.43,1.65,20,16.1,-3.7,-10.04,11.15
741,3012,150.66335,-34.02433,12.6,9.5,-0.42,1.64,20.1,16,-3.7,-10.03,11.05
742,3016,150.66335,-34.02433,12.9,9.6,-0.41,1.65,20.1,16.2,-3.7,-10.07,11.25
743,3020,150.66335,-34.02433,12.8,9.6,-0.42,1.64,20.1,16.1,-3.7,-10.05,11.2
744,3024,150.66335,-34.02433,12.6,10.1,-0.42,1.69,20.1,15.9,-3.7,-10.03,11.35
745,3028,150.66335,-34.02433,12.3,9.7,-0.42,1.64,20.1,16.3,-3.7,-10.04,11
746,3032,150.66335,-34.02433,12.7,9.8,-0.42,1.66,20.2,16.2,-3.7,-10.07,11.25
747,3036,150.66335,-34.02433,12.4,9.6,-0.42,1.66,20.2,16.2,-3.71,-10.08,11
748,3040,150.66335,-34.02433,12.7,10.4,-0.41,1.66,20.2,16.1,-3.71,-10.05,11.55
749,3044,150.66335,-34.02433,12.7,9.5,-0.41,1.66,20.2,16,-3.71,-10.07,11.1
750,3048,150.66335,-34.02433,13,10,-0.42,1.66,20.3,16,-3.71,-10.07,11.5
751,3052,150.66335,-34.02433,12.7,9.9,-0.41,1.67,20.1,16.3,-3.71,-10.04,11.3
752,3056,150.66335,-34.02433,12.7,9.7,-0.42,1.65,20,16.2,-3.71,-10.07,11.2
753,3060,150.66335,-34.02433,12.9,9.7,-0.41,1.67,20.1,16.2,-3.71,-10.08,11.3
754,3064,150.66335,-34.02433,12.9,9.9,-0.42,1.65,20,16.1,-3.71,-10.06,11.4
755,3068,150.66335,-34.0243283,12.8,10,-0.42,1.63,20.2,16.3,-3.71,-10.1,11.4
756,3072,150.6633517,-34.0243183,12.7,10.3,-0.43,1.74,20.4,15.8,-3.78,-10.14,11.5
757,3076,150.663355,-34.0243067,13.2,9.5,-0.44,1.84,20.3,16.4,-3.7,-10.04,11.35
758,3080,150.6633583,-34.024295,13.6,9.4,-0.52,1.7,20.3,16.3,-3.69,-10.19,11.5
759,3084,150.6633617,-34.0242817,13.8,9.3,-0.47,1.75,21.2,16.4,-3.85,-10.32,11.55
760,3088,150.6633633,-34.0242667,13.5,9.3,-0.52,2.01,21.7,16.5,-3.88,-10.23,11.4
761,3092,150.6633667,-34.0242517,13.3,9.1,-0.49,1.89,21.5,16.3,-3.82,-10.26,11.2
762,3096,150.66337,-34.024235,13.7,8.8,-0.55,1.85,21.8,16.6,-3.91,-10.29,11.25
763,3100,150.663375,-34.0242167,13.7,8.3,-0.6,1.89,22.6,16.9,-3.98,-10.35,11
764,3104,150.6633783,-34.0242,12.9,8.2,-0.48,2.02,21.8,16.4,-3.88,-10.14,10.55
765,3108,150.6633833,-34.0241817,12,8,-0.37,2.01,21,15,-3.72,-9.77,10
766,3112,150.6633883,-34.0241617,11.5,6.6,-0.31,1.99,21.6,15.1,-3.68,-9.53,9.05
767,3116,150.6633933,-34.0241417,12.2,6.7,-0.42,1.97,21.1,15.3,-3.71,-9.62,9.45
768,3120,150.6634,-34.0241167,12.3,6.9,-0.4,1.78,21.1,15.6,-3.59,-9.61,9.6
