,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,1.5mHCPcon
125,506,150.6628817,-34.0261267,4.7,3.8,0.55,2.4,11.4,6.3,-2.07,-4.8,4.25
126,510,150.66287,-34.026175,4.1,3.5,0.53,2.28,10.9,6.4,-1.95,-4.68,3.8
127,514,150.6628583,-34.026225,4.4,3.1,0.5,2.26,10.5,6,-1.88,-4.67,3.75
128,518,150.6628483,-34.0262717,4.3,3.2,0.45,2.04,10,5.8,-1.81,-4.73,3.75
129,522,150.6628383,-34.02632,4.4,2.8,0.41,1.95,9.9,5.8,-1.89,-5.03,3.6
130,526,150.66283,-34.026365,5.1,2.8,0.35,1.97,10.5,6.7,-2.01,-5.28,3.95
131,530,150.6628233,-34.0264067,5.5,2.7,0.28,2.02,11.1,7.1,-2.13,-5.51,4.1
132,534,150.6628167,-34.0264417,6.1,3,0.22,2.09,11.4,7,-2.19,-5.66,4.55
133,538,150.6628067,-34.026475,5.7,2.4,0.22,2.12,11.7,7.2,-2.28,-5.79,4.05
134,542,150.6627917,-34.0265017,5.8,2.4,0.2,2.08,11.5,6.8,-2.26,-5.78,4.1
135,546,150.6627683,-34.0265217,5.3,1.9,0.21,2.1,11.3,6.5,-2.27,-5.76,3.6
136,550,150.66274,-34.0265283,4.7,1.5,0.3,2.23,11.1,6,-2.33,-5.65,3.1
137,554,150.6627133,-34.0265183,3.7,0.9,0.44,2.45,11.9,6.3,-2.38,-5.52,2.3
138,558,150.6626983,-34.0264967,3.4,1.2,0.53,2.6,11.7,5.6,-2.47,-5.55,2.3
139,562,150.6626983,-34.0264717,3.3,0.3,0.56,2.73,12,5.9,-2.52,-5.52,1.8
140,566,150.662705,-34.026445,3.1,0.5,0.45,2.59,12.3,5.6,-2.6,-5.71,1.8
141,570,150.6627133,-34.0264167,2.9,0.5,0.44,2.53,12,6,-2.53,-5.65,1.7
142,574,150.6627217,-34.026385,3,0.7,0.47,2.55,12.2,6.1,-2.53,-5.67,1.85
143,578,150.6627283,-34.0263533,3.8,1.3,0.52,2.54,12.9,6.9,-2.5,-5.6,2.55
144,582,150.6627367,-34.02632,4.2,1.8,0.55,2.45,12.2,6.8,-2.32,-5.33,3
145,586,150.6627433,-34.0262867,4.3,1.7,0.5,2.36,11.7,6.6,-2.23,-5.2,3
146,590,150.6627517,-34.0262517,4.2,2.2,0.49,2.27,11.1,6.6,-2.06,-5.07,3.2
147,594,150.6627583,-34.0262167,3.8,2.5,0.53,2.28,10.9,6.5,-1.97,-4.89,3.15
148,598,150.662765,-34.0261833,4,2.8,0.57,2.25,10.2,6.1,-1.89,-4.66,3.4
149,602,150.6627733,-34.0261483,3.9,2.5,0.6,2.26,10.4,6.1,-1.85,-4.59,3.2
150,606,150.66278,-34.026115,4.2,2.7,0.6,2.27,10.3,6.5,-1.85,-4.61,3.45
151,610,150.6627867,-34.02608,4,3,0.63,2.36,10.7,6.2,-1.94,-4.61,3.5
152,614,150.6627933,-34.026045,4.2,3.1,0.67,2.52,11.5,6.8,-2.06,-4.64,3.65
153,618,150.6628017,-34.0260117,4.6,3.8,0.65,2.5,12.1,7.5,-2.05,-4.63,4.2
154,622,150.6628083,-34.0259767,5.3,4.6,0.71,2.55,12.9,7.8,-2.12,-4.65,4.95
155,626,150.6628167,-34.025945,5.9,5.6,0.66,2.56,13.2,9,-2.15,-4.75,5.75
156,630,150.6628233,-34.02591,6,5.3,0.58,2.37,12.4,8.5,-2.08,-4.83,5.65
