Latitude,Longitude,Accuracy,Reading,Time 
-34.02209701,150.66372866,12.0,0.0648,Wed Nov 01 14:33:56 AEDT 2017
-34.02216076,150.66377238,11.0,0.0618,Wed Nov 01 14:33:59 AEDT 2017
-34.02218722,150.66379579,10.0,0.0613,Wed Nov 01 14:34:01 AEDT 2017
-34.02219235,150.66381653,10.0,0.0558,Wed Nov 01 14:34:03 AEDT 2017
-34.02214677,150.66382694,9.0,0.0552,Wed Nov 01 14:34:06 AEDT 2017
-34.02211677,150.66381027,10.0,0.0573,Wed Nov 01 14:34:08 AEDT 2017
-34.02209548,150.66378057,10.0,0.0598,Wed Nov 01 14:34:10 AEDT 2017
-34.02208165,150.66370764,10.0,0.0597,Wed Nov 01 14:34:13 AEDT 2017
-34.02207011,150.66364748,9.0,0.0601,Wed Nov 01 14:34:16 AEDT 2017
-34.02204893,150.66357629,10.0,0.0618,Wed Nov 01 14:34:18 AEDT 2017
-34.02203077,150.6635265,10.0,0.06599999,Wed Nov 01 14:34:20 AEDT 2017
-34.02202238,150.66347468,10.0,0.0619,Wed Nov 01 14:34:22 AEDT 2017
-34.02202664,150.6633967,10.0,0.0618,Wed Nov 01 14:34:25 AEDT 2017
-34.02201873,150.66334482,10.0,0.0618,Wed Nov 01 14:34:27 AEDT 2017
-34.02200277,150.66329187,10.0,0.0586,Wed Nov 01 14:34:29 AEDT 2017
-34.02198714,150.66321761,9.0,0.0603,Wed Nov 01 14:34:32 AEDT 2017
-34.02198157,150.66317158,9.0,0.0618,Wed Nov 01 14:34:34 AEDT 2017
-34.02197108,150.66313038,9.0,0.0639,Wed Nov 01 14:34:36 AEDT 2017
-34.0219556,150.6630764,9.0,0.0679,Wed Nov 01 14:34:39 AEDT 2017
-34.02194618,150.6630427,10.0,0.0622,Wed Nov 01 14:34:41 AEDT 2017
-34.02194203,150.66302279,9.0,0.0652,Wed Nov 01 14:34:43 AEDT 2017
-34.02192181,150.66299993,10.0,0.0622,Wed Nov 01 14:34:46 AEDT 2017
-34.0219026,150.66300418,10.0,0.0567,Wed Nov 01 14:34:48 AEDT 2017
-34.02189821,150.66303236,10.0,0.0638,Wed Nov 01 14:34:50 AEDT 2017
-34.02189783,150.66308447,10.0,0.0608,Wed Nov 01 14:34:53 AEDT 2017
-34.02190683,150.66312976,10.0,0.061,Wed Nov 01 14:34:55 AEDT 2017
-34.02192166,150.66317144,10.0,0.0683,Wed Nov 01 14:34:57 AEDT 2017
-34.02194978,150.6632438,11.0,0.0611,Wed Nov 01 14:35:00 AEDT 2017
-34.02196662,150.66330567,11.0,0.0694,Wed Nov 01 14:35:03 AEDT 2017
-34.021978849999996,150.66335519,11.0,0.0642,Wed Nov 01 14:35:04 AEDT 2017
-34.02199748,150.66342373,11.0,0.0623,Wed Nov 01 14:35:07 AEDT 2017
-34.02199357,150.6634698,11.0,0.0676,Wed Nov 01 14:35:09 AEDT 2017
-34.02198986,150.6635377,11.0,0.07,Wed Nov 01 14:35:12 AEDT 2017
-34.02199913,150.66357786,11.0,0.0634,Wed Nov 01 14:35:14 AEDT 2017
-34.02202308,150.66361138,10.0,0.0629,Wed Nov 01 14:35:16 AEDT 2017
-34.02203835,150.66366689,11.0,0.0634,Wed Nov 01 14:35:19 AEDT 2017
-34.02204748,150.66370508,11.0,0.0629,Wed Nov 01 14:35:21 AEDT 2017
-34.02205694,150.6637501,11.0,0.0572,Wed Nov 01 14:35:23 AEDT 2017
-34.0220715,150.66381754,11.0,0.0623,Wed Nov 01 14:35:26 AEDT 2017
-34.02208024,150.6638624,10.0,0.0663,Wed Nov 01 14:35:28 AEDT 2017
-34.02210177,150.66390161,10.0,0.0573,Wed Nov 01 14:35:30 AEDT 2017
-34.02216097,150.66392829,9.0,0.0611,Wed Nov 01 14:35:33 AEDT 2017
-34.02221526,150.66391621,9.0,0.0611,Wed Nov 01 14:35:35 AEDT 2017
-34.02227766,150.66389773,10.0,0.0588,Wed Nov 01 14:35:37 AEDT 2017
-34.02236649,150.66387474,9.0,0.0611,Wed Nov 01 14:35:40 AEDT 2017
-34.02242291,150.66386101,10.0,0.0658,Wed Nov 01 14:35:42 AEDT 2017
-34.02248029,150.66384538,10.0,0.0648,Wed Nov 01 14:35:44 AEDT 2017
-34.0225743,150.66381332,10.0,0.0678,Wed Nov 01 14:35:47 AEDT 2017
-34.02264151,150.66379752,10.0,0.0663,Wed Nov 01 14:35:50 AEDT 2017
-34.02270584,150.66377829,10.0,0.0629,Wed Nov 01 14:35:52 AEDT 2017
-34.02280231,150.66376117,10.0,0.0569,Wed Nov 01 14:35:55 AEDT 2017
-34.02285756,150.66373671,10.0,0.0554,Wed Nov 01 14:35:57 AEDT 2017
-34.02291748,150.66371159,10.0,0.0567,Wed Nov 01 14:35:59 AEDT 2017
-34.02301659,150.66370186,11.0,0.0618,Wed Nov 01 14:36:02 AEDT 2017
-34.02308246,150.66369899,10.0,0.0587,Wed Nov 01 14:36:04 AEDT 2017
-34.02317474,150.66367617,10.0,0.0594,Wed Nov 01 14:36:07 AEDT 2017
-34.02323313,150.66365839,10.0,0.0658,Wed Nov 01 14:36:09 AEDT 2017
-34.02329418,150.6636499,10.0,0.0678,Wed Nov 01 14:36:11 AEDT 2017
-34.02339603,150.66363648,10.0,0.0675,Wed Nov 01 14:36:14 AEDT 2017
-34.02346322,150.66362053,10.0,0.0642,Wed Nov 01 14:36:16 AEDT 2017
-34.02352703,150.66360252,10.0,0.0692,Wed Nov 01 14:36:18 AEDT 2017
-34.0236176,150.6635639,9.0,0.0657,Wed Nov 01 14:36:21 AEDT 2017
-34.02368019,150.66353488,9.0,0.06620001,Wed Nov 01 14:36:23 AEDT 2017
-34.02374751,150.66351593,10.0,0.0622,Wed Nov 01 14:36:25 AEDT 2017
-34.02384966,150.6634865,10.0,0.067,Wed Nov 01 14:36:28 AEDT 2017
-34.02391542,150.66346975,10.0,0.0652,Wed Nov 01 14:36:30 AEDT 2017
-34.02398351,150.6634585,10.0,0.0611,Wed Nov 01 14:36:32 AEDT 2017
-34.02407914,150.66343228,10.0,0.06849999,Wed Nov 01 14:36:35 AEDT 2017
-34.02414271,150.66341739,10.0,0.0699,Wed Nov 01 14:36:37 AEDT 2017
-34.02420778,150.66340152,9.0,0.0652,Wed Nov 01 14:36:39 AEDT 2017
-34.02430783,150.6633743,9.0,0.0655,Wed Nov 01 14:36:42 AEDT 2017
-34.02437899,150.66335873,10.0,0.0702,Wed Nov 01 14:36:44 AEDT 2017
-34.02445143,150.66333933,9.0,0.067,Wed Nov 01 14:36:46 AEDT 2017
-34.02456414,150.66330313,10.0,0.0687,Wed Nov 01 14:36:49 AEDT 2017
-34.02463578,150.66327908,10.0,0.0633,Wed Nov 01 14:36:51 AEDT 2017
-34.02473724,150.66324121,10.0,0.0624,Wed Nov 01 14:36:53 AEDT 2017
-34.02480393,150.66321958,10.0,0.0663,Wed Nov 01 14:36:55 AEDT 2017
-34.0248707,150.66320393,10.0,0.0641,Wed Nov 01 14:36:57 AEDT 2017
-34.02497238,150.66317464,10.0,0.0621,Wed Nov 01 14:37:00 AEDT 2017
-34.02504003,150.663151,10.0,0.06490001,Wed Nov 01 14:37:02 AEDT 2017
-34.02510515,150.66312532,9.0,0.0646,Wed Nov 01 14:37:04 AEDT 2017
-34.02520846,150.66310014,10.0,0.0684,Wed Nov 01 14:37:07 AEDT 2017
-34.025285,150.66308143,10.0,0.06599999,Wed Nov 01 14:37:09 AEDT 2017
-34.0253655,150.6630677,10.0,0.0663,Wed Nov 01 14:37:11 AEDT 2017
-34.02548565,150.66304177,10.0,0.0664,Wed Nov 01 14:37:14 AEDT 2017
-34.02556527,150.66302354,10.0,0.0677,Wed Nov 01 14:37:16 AEDT 2017
-34.02564397,150.66300066,10.0,0.0609,Wed Nov 01 14:37:18 AEDT 2017
-34.025766,150.66297466,10.0,0.0659,Wed Nov 01 14:37:21 AEDT 2017
-34.02585017,150.66296081,10.0,0.0681,Wed Nov 01 14:37:23 AEDT 2017
-34.02592723,150.66293891,10.0,0.0596,Wed Nov 01 14:37:25 AEDT 2017
-34.02604308,150.66291582,10.0,0.06400001,Wed Nov 01 14:37:28 AEDT 2017
-34.02611661,150.66290803,9.0,0.0631,Wed Nov 01 14:37:30 AEDT 2017
-34.0261879,150.6628933,9.0,0.0705,Wed Nov 01 14:37:32 AEDT 2017
-34.02629309,150.66287149,9.0,0.0707,Wed Nov 01 14:37:35 AEDT 2017
-34.02635726,150.66285457,10.0,0.0723,Wed Nov 01 14:37:37 AEDT 2017
-34.026414,150.66283934,9.0,0.0657,Wed Nov 01 14:37:39 AEDT 2017
-34.02649252,150.66281389,9.0,0.0709,Wed Nov 01 14:37:42 AEDT 2017
-34.02652812,150.66280465,9.0,0.0696,Wed Nov 01 14:37:44 AEDT 2017
-34.02655447,150.66279558,9.0,0.0655,Wed Nov 01 14:37:46 AEDT 2017
-34.02657996,150.66278457,10.0,0.0722,Wed Nov 01 14:37:49 AEDT 2017
-34.02660148,150.66277272,10.0,0.0657,Wed Nov 01 14:37:51 AEDT 2017
-34.02662426,150.66274435,9.0,0.0651,Wed Nov 01 14:37:54 AEDT 2017
-34.02661143,150.66271789,9.0,0.0676,Wed Nov 01 14:37:56 AEDT 2017
-34.0265835,150.6627143,3.0,0.0631,Wed Nov 01 14:37:58 AEDT 2017
-34.026535,150.66272555,4.0,0.0703,Wed Nov 01 14:38:01 AEDT 2017
-34.02649599,150.66273464,4.0,0.0707,Wed Nov 01 14:38:03 AEDT 2017
-34.02645601,150.66273951,4.0,0.076,Wed Nov 01 14:38:05 AEDT 2017
-34.02639353,150.66275329,4.0,0.0698,Wed Nov 01 14:38:08 AEDT 2017
-34.02634986,150.66277259,4.0,0.0756,Wed Nov 01 14:38:10 AEDT 2017
-34.02630364,150.66278842,4.0,0.0718,Wed Nov 01 14:38:12 AEDT 2017
-34.02623328,150.66281163,4.0,0.0686,Wed Nov 01 14:38:15 AEDT 2017
-34.02618433,150.66282788,4.0,0.0696,Wed Nov 01 14:38:17 AEDT 2017
-34.02613466,150.66284242,4.0,0.0724,Wed Nov 01 14:38:19 AEDT 2017
-34.02606667,150.66285758,3.0,0.0655,Wed Nov 01 14:38:22 AEDT 2017
-34.02602229,150.66287012,4.0,0.0801,Wed Nov 01 14:38:24 AEDT 2017
-34.02597841,150.6628883,3.0,0.0656,Wed Nov 01 14:38:26 AEDT 2017
-34.02593184,150.66288435,4.0,0.0729,Wed Nov 01 14:38:30 AEDT 2017
-34.02592237,150.66284022,4.0,0.0747,Wed Nov 01 14:38:32 AEDT 2017
-34.02595164,150.66280041,3.0,0.073,Wed Nov 01 14:38:34 AEDT 2017
-34.02602072,150.66277569,3.0,0.0755,Wed Nov 01 14:38:37 AEDT 2017
-34.02606752,150.66276477,3.0,0.0711,Wed Nov 01 14:38:39 AEDT 2017
-34.02611441,150.66275724,4.0,0.0738,Wed Nov 01 14:38:41 AEDT 2017
-34.02618563,150.66274604,3.0,0.0709,Wed Nov 01 14:38:44 AEDT 2017
-34.02623524,150.66273861,3.0,0.073,Wed Nov 01 14:38:46 AEDT 2017
-34.02628441,150.66273225,3.0,0.0664,Wed Nov 01 14:38:48 AEDT 2017
-34.02635245,150.66272414,3.0,0.0717,Wed Nov 01 14:38:51 AEDT 2017
-34.02639688,150.66271776,3.0,0.0725,Wed Nov 01 14:38:53 AEDT 2017
-34.02645894,150.6627021,3.0,0.0675,Wed Nov 01 14:38:56 AEDT 2017
-34.0264979,150.6626927,3.0,0.0748,Wed Nov 01 14:38:58 AEDT 2017
-34.0265358,150.6626868,9.0,0.0692,Wed Nov 01 14:39:00 AEDT 2017
-34.02657266,150.66267131,9.0,0.0747,Wed Nov 01 14:39:03 AEDT 2017
-34.02658266,150.66264108,9.0,0.0687,Wed Nov 01 14:39:05 AEDT 2017
-34.02656364,150.66261303,9.0,0.0733,Wed Nov 01 14:39:07 AEDT 2017
-34.02651955,150.66262302,10.0,0.0738,Wed Nov 01 14:39:10 AEDT 2017
-34.02649419,150.66263839,9.0,0.0738,Wed Nov 01 14:39:12 AEDT 2017
-34.02646715,150.66264723,10.0,0.0758,Wed Nov 01 14:39:14 AEDT 2017
-34.02641582,150.66266315,10.0,0.0708,Wed Nov 01 14:39:17 AEDT 2017
-34.02637548,150.66266694,10.0,0.0686,Wed Nov 01 14:39:19 AEDT 2017
-34.02633708,150.66267508,9.0,0.0654,Wed Nov 01 14:39:21 AEDT 2017
-34.0262774,150.66268844,9.0,0.0673,Wed Nov 01 14:39:24 AEDT 2017
-34.02623743,150.66270192,9.0,0.0709,Wed Nov 01 14:39:26 AEDT 2017
-34.02619795,150.66271267,9.0,0.0707,Wed Nov 01 14:39:28 AEDT 2017
-34.02614245,150.66272377,10.0,0.0744,Wed Nov 01 14:39:31 AEDT 2017
-34.02610395,150.66273035,9.0,0.07639999,Wed Nov 01 14:39:33 AEDT 2017
-34.02604969,150.66274501,10.0,0.0706,Wed Nov 01 14:39:36 AEDT 2017
-34.02601459,150.66275947,10.0,0.0692,Wed Nov 01 14:39:38 AEDT 2017
-34.02597983,150.6627729,10.0,0.0666,Wed Nov 01 14:39:40 AEDT 2017
-34.0259475,150.66278527,10.0,0.0732,Wed Nov 01 14:39:42 AEDT 2017
-34.02590924,150.66274571,10.0,0.0706,Wed Nov 01 14:39:45 AEDT 2017
-34.02591179,150.66269365,10.0,0.0727,Wed Nov 01 14:39:47 AEDT 2017
-34.0259659,150.66266191,10.0,0.0752,Wed Nov 01 14:39:50 AEDT 2017
-34.02601413,150.66266531,9.0,0.0717,Wed Nov 01 14:39:52 AEDT 2017
-34.02605614,150.66266676,10.0,0.0754,Wed Nov 01 14:39:54 AEDT 2017
-34.02611299,150.66266455,9.0,0.075,Wed Nov 01 14:39:57 AEDT 2017
-34.02615232,150.6626525,10.0,0.0756,Wed Nov 01 14:39:59 AEDT 2017
-34.0261932,150.6626436,10.0,0.0796,Wed Nov 01 14:40:01 AEDT 2017
-34.02625588,150.66263351999999,10.0,0.0776,Wed Nov 01 14:40:04 AEDT 2017
-34.02630049,150.66262135,10.0,0.0763,Wed Nov 01 14:40:06 AEDT 2017
-34.02634559,150.66260492,9.0,0.074,Wed Nov 01 14:40:08 AEDT 2017
-34.02641754,150.66258393,9.0,0.0743,Wed Nov 01 14:40:11 AEDT 2017
-34.02646329,150.66257772,9.0,0.0753,Wed Nov 01 14:40:13 AEDT 2017
-34.02650614,150.66257159,9.0,0.0768,Wed Nov 01 14:40:15 AEDT 2017
-34.02655865,150.66254269,9.0,0.0777,Wed Nov 01 14:40:18 AEDT 2017
-34.02657202,150.66251458,10.0,0.0776,Wed Nov 01 14:40:20 AEDT 2017
-34.02655221,150.66247973,11.0,0.0724,Wed Nov 01 14:40:22 AEDT 2017
-34.02650001,150.66247306,10.0,0.077,Wed Nov 01 14:40:25 AEDT 2017
-34.02646698,150.66250287,10.0,0.079,Wed Nov 01 14:40:27 AEDT 2017
-34.02640778,150.6625321,10.0,0.0733,Wed Nov 01 14:40:30 AEDT 2017
-34.02636374,150.66254153,9.0,0.0793,Wed Nov 01 14:40:32 AEDT 2017
-34.02631918,150.6625468,9.0,0.0761,Wed Nov 01 14:40:34 AEDT 2017
-34.02626909,150.66255409,9.0,0.0762,Wed Nov 01 14:40:36 AEDT 2017
-34.02619613,150.66257522,10.0,0.0786,Wed Nov 01 14:40:39 AEDT 2017
-34.02615007,150.66259277,10.0,0.0747,Wed Nov 01 14:40:41 AEDT 2017
-34.02608431,150.66261834,10.0,0.06849999,Wed Nov 01 14:40:44 AEDT 2017
-34.02604551,150.66263571,10.0,0.0781,Wed Nov 01 14:40:46 AEDT 2017
-34.02601164,150.6626577,10.0,0.07460001,Wed Nov 01 14:40:48 AEDT 2017
-34.02595552,150.66267137,9.0,0.0781,Wed Nov 01 14:40:51 AEDT 2017
-34.02591491,150.66266427,10.0,0.0775,Wed Nov 01 14:40:53 AEDT 2017
-34.02589586,150.66262651,10.0,0.0773,Wed Nov 01 14:40:55 AEDT 2017
-34.02594704,150.66256839,10.0,0.077,Wed Nov 01 14:40:58 AEDT 2017
-34.02600079,150.66256574,10.0,0.0743,Wed Nov 01 14:41:00 AEDT 2017
-34.02604476,150.66256589,10.0,0.0709,Wed Nov 01 14:41:02 AEDT 2017
-34.02610792,150.66255964,9.0,0.0736,Wed Nov 01 14:41:05 AEDT 2017
-34.02615181,150.66255737,9.0,0.0802,Wed Nov 01 14:41:07 AEDT 2017
-34.02621331,150.66254378,10.0,0.0745,Wed Nov 01 14:41:10 AEDT 2017
-34.02628038,150.66254029,11.0,0.08219999,Wed Nov 01 14:41:13 AEDT 2017
-34.02632391,150.66255026,13.0,0.0778,Wed Nov 01 14:41:15 AEDT 2017
-34.0263699,150.66254531,15.0,0.0787,Wed Nov 01 14:41:17 AEDT 2017
-34.02640232,150.66250659,13.0,0.0768,Wed Nov 01 14:41:19 AEDT 2017
-34.02643485,150.6624856,12.0,0.0786,Wed Nov 01 14:41:21 AEDT 2017
-34.02645612,150.66247857,12.0,0.076,Wed Nov 01 14:41:23 AEDT 2017
-34.02647844,150.66246997,12.0,0.0762,Wed Nov 01 14:41:26 AEDT 2017
-34.02649922,150.66245041,12.0,0.0765,Wed Nov 01 14:41:28 AEDT 2017
-34.02649028,150.66238731,10.0,0.0784,Wed Nov 01 14:41:31 AEDT 2017
-34.02645495,150.66238391,10.0,0.069,Wed Nov 01 14:41:33 AEDT 2017
-34.02640839,150.6623956,10.0,0.0769,Wed Nov 01 14:41:35 AEDT 2017
-34.02632003,150.66239938,10.0,0.073,Wed Nov 01 14:41:38 AEDT 2017
-34.02626295,150.66240288,11.0,0.0774,Wed Nov 01 14:41:40 AEDT 2017
-34.02621225,150.66240819,11.0,0.079,Wed Nov 01 14:41:42 AEDT 2017
-34.0261379,150.66242844,11.0,0.08389999,Wed Nov 01 14:41:45 AEDT 2017
-34.02609498,150.66245657,11.0,0.0718,Wed Nov 01 14:41:47 AEDT 2017
-34.02605261,150.66247695,11.0,0.0733,Wed Nov 01 14:41:49 AEDT 2017
-34.02599393,150.6625236,12.0,0.0778,Wed Nov 01 14:41:52 AEDT 2017
-34.02596,150.66253689,11.0,0.0726,Wed Nov 01 14:41:54 AEDT 2017
-34.02590838,150.6625711,11.0,0.0777,Wed Nov 01 14:41:57 AEDT 2017
-34.02587333,150.66254724,10.0,0.0717,Wed Nov 01 14:41:59 AEDT 2017
-34.02587252,150.66248193,10.0,0.0765,Wed Nov 01 14:42:01 AEDT 2017
-34.02592167,150.66242191,10.0,0.0811,Wed Nov 01 14:42:04 AEDT 2017
-34.02597911,150.66241126,10.0,0.0778,Wed Nov 01 14:42:06 AEDT 2017
-34.02603768,150.6624059,10.0,0.0805,Wed Nov 01 14:42:08 AEDT 2017
-34.02611037,150.66239927,11.0,0.0795,Wed Nov 01 14:42:11 AEDT 2017
-34.02616487,150.6623935,11.0,0.0772,Wed Nov 01 14:42:13 AEDT 2017
-34.02620455,150.66239386,11.0,0.0779,Wed Nov 01 14:42:15 AEDT 2017
-34.02626833,150.66238387,11.0,0.0742,Wed Nov 01 14:42:18 AEDT 2017
-34.02631557,150.66237489,12.0,0.0793,Wed Nov 01 14:42:20 AEDT 2017
-34.0263562,150.66237711,12.0,0.0785,Wed Nov 01 14:42:22 AEDT 2017
-34.02641833,150.66237081,10.0,0.0796,Wed Nov 01 14:42:25 AEDT 2017
-34.02645126,150.66236316,10.0,0.0808,Wed Nov 01 14:42:27 AEDT 2017
-34.02648164,150.66235427,10.0,0.0769,Wed Nov 01 14:42:29 AEDT 2017
-34.02651958,150.66232877,10.0,0.0829,Wed Nov 01 14:42:32 AEDT 2017
-34.02652767,150.66230066,10.0,0.08120001,Wed Nov 01 14:42:34 AEDT 2017
-34.0265,150.66228027,10.0,0.0783,Wed Nov 01 14:42:36 AEDT 2017
-34.02643258,150.66228923,10.0,0.0799,Wed Nov 01 14:42:39 AEDT 2017
-34.02638701,150.66229246,10.0,0.08120001,Wed Nov 01 14:42:41 AEDT 2017
-34.02634055,150.66230439,10.0,0.0775,Wed Nov 01 14:42:43 AEDT 2017
-34.02626861,150.66231732,10.0,0.0771,Wed Nov 01 14:42:46 AEDT 2017
-34.02621675,150.66233418,10.0,0.0752,Wed Nov 01 14:42:48 AEDT 2017
-34.02616411,150.66235121,10.0,0.0772,Wed Nov 01 14:42:50 AEDT 2017
-34.0260846,150.66234813,11.0,0.0744,Wed Nov 01 14:42:53 AEDT 2017
-34.02603176,150.66232551,12.0,0.0799,Wed Nov 01 14:42:55 AEDT 2017
-34.02596937,150.66235573,12.0,0.0826,Wed Nov 01 14:42:58 AEDT 2017
-34.02592327,150.66239507,13.0,0.0767,Wed Nov 01 14:43:00 AEDT 2017
-34.02588061,150.66243093,11.0,0.0754,Wed Nov 01 14:43:02 AEDT 2017
-34.02584094,150.66244634,11.0,0.0841,Wed Nov 01 14:43:05 AEDT 2017
-34.02584775,150.66241094,10.0,0.0754,Wed Nov 01 14:43:07 AEDT 2017
-34.02589055,150.66238023,10.0,0.0796,Wed Nov 01 14:43:09 AEDT 2017
-34.02596377,150.66235031,10.0,0.0788,Wed Nov 01 14:43:12 AEDT 2017
-34.02600755,150.66233691,10.0,0.0829,Wed Nov 01 14:43:14 AEDT 2017
-34.02604885,150.66232989,10.0,0.0832,Wed Nov 01 14:43:16 AEDT 2017
-34.02610372,150.66231752,9.0,0.0731,Wed Nov 01 14:43:19 AEDT 2017
-34.02613847,150.6623102,9.0,0.0858,Wed Nov 01 14:43:21 AEDT 2017
-34.02617354,150.66229885,9.0,0.08349999,Wed Nov 01 14:43:23 AEDT 2017
-34.02623207,150.66228279,9.0,0.0799,Wed Nov 01 14:43:26 AEDT 2017
-34.02627247,150.66226852,9.0,0.08200001,Wed Nov 01 14:43:28 AEDT 2017
-34.02631627,150.662258,9.0,0.08219999,Wed Nov 01 14:43:30 AEDT 2017
-34.02638428,150.66224359,9.0,0.0821,Wed Nov 01 14:43:33 AEDT 2017
-34.02642351,150.66223652,9.0,0.0815,Wed Nov 01 14:43:35 AEDT 2017
-34.02644326,150.66221548,9.0,0.0795,Wed Nov 01 14:43:37 AEDT 2017
-34.02641834,150.66217783,9.0,0.076,Wed Nov 01 14:43:40 AEDT 2017
-34.02637906,150.662182,9.0,0.0763,Wed Nov 01 14:43:42 AEDT 2017
-34.02631352,150.66219438,10.0,0.0744,Wed Nov 01 14:43:45 AEDT 2017
-34.02627119,150.66219763,10.0,0.0778,Wed Nov 01 14:43:47 AEDT 2017
-34.02622892,150.66220661,10.0,0.0825,Wed Nov 01 14:43:49 AEDT 2017
-34.02619105,150.66220498,10.0,0.081,Wed Nov 01 14:43:51 AEDT 2017
-34.02613605,150.66221478,10.0,0.0851,Wed Nov 01 14:43:54 AEDT 2017
-34.02609155,150.66223543,9.0,0.0758,Wed Nov 01 14:43:56 AEDT 2017
-34.0260228,150.66227014,9.0,0.0797,Wed Nov 01 14:43:59 AEDT 2017
-34.02597817,150.66228939,9.0,0.0774,Wed Nov 01 14:44:01 AEDT 2017
-34.02593533,150.6623066,10.0,0.0709,Wed Nov 01 14:44:03 AEDT 2017
-34.02587767,150.66233445,11.0,0.0701,Wed Nov 01 14:44:06 AEDT 2017
-34.02583418,150.662341,11.0,0.0762,Wed Nov 01 14:44:07 AEDT 2017
-34.02579597,150.66230926,11.0,0.0734,Wed Nov 01 14:44:09 AEDT 2017
-34.02580278,150.6622187,10.0,0.0774,Wed Nov 01 14:44:12 AEDT 2017
-34.02584359,150.66219459,10.0,0.08690001,Wed Nov 01 14:44:14 AEDT 2017
-34.02589949,150.66219268,11.0,0.0767,Wed Nov 01 14:44:16 AEDT 2017
-34.02598127,150.66218189,11.0,0.0808,Wed Nov 01 14:44:19 AEDT 2017
-34.02602367,150.662182,10.0,0.0788,Wed Nov 01 14:44:21 AEDT 2017
-34.02606429,150.66217978,10.0,0.0722,Wed Nov 01 14:44:23 AEDT 2017
-34.02612734,150.6621782,10.0,0.071,Wed Nov 01 14:44:26 AEDT 2017
-34.02616679,150.66216955,10.0,0.0676,Wed Nov 01 14:44:28 AEDT 2017
