,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag
145,583,150.6635433,-34.02205,3.4,6.1,0.26,0.66,3.0,4.2,-0.52,-1.7
146,587,150.6635183,-34.0220467,3.5,5.9,0.27,0.66,2.8,4.0,-0.49,-1.65
147,591,150.6634933,-34.0220417,3.3,5.8,0.27,0.65,2.8,3.9,-0.48,-1.62
148,595,150.6634667,-34.0220367,3.3,5.7,0.28,0.64,2.5,4.0,-0.46,-1.56
149,599,150.6634417,-34.02203,3.7,5.6,0.28,0.62,2.9,3.7,-0.46,-1.57
150,603,150.663415,-34.022025,3.9,6.3,0.27,0.63,3.2,4.0,-0.47,-1.59
151,607,150.66339,-34.02202,4.3,6.2,0.26,0.61,3.5,4.3,-0.46,-1.55
152,611,150.663365,-34.0220133,4.2,6.3,0.27,0.63,2.9,4.0,-0.46,-1.57
153,615,150.66334,-34.0220083,3.9,6.2,0.27,0.63,3.0,4.0,-0.47,-1.61
154,619,150.663315,-34.0220033,4.5,5.9,0.26,0.65,3.3,4.3,-0.47,-1.6
155,623,150.6632883,-34.0219983,4.7,6.0,0.26,0.64,3.2,4.1,-0.46,-1.61
156,627,150.6632633,-34.0219917,4.2,6.4,0.25,0.63,3.3,4.1,-0.45,-1.56
157,631,150.6632383,-34.0219867,4.4,6.4,0.25,0.62,3.3,4.0,-0.46,-1.6
158,635,150.6632117,-34.0219817,5.0,6.3,0.25,0.61,3.4,4.1,-0.46,-1.58
159,639,150.6631867,-34.021975,4.3,6.3,0.25,0.61,3.3,4.0,-0.46,-1.59
160,643,150.6631617,-34.02197,4.6,6.4,0.26,0.61,3.3,4.2,-0.46,-1.6
161,647,150.6631367,-34.021965,4.1,6.3,0.25,0.61,3.3,4.5,-0.46,-1.6
162,651,150.6631117,-34.02196,4.2,6.4,0.25,0.6,3.4,4.3,-0.46,-1.61
163,655,150.6630867,-34.021955,4.4,6.8,0.26,0.61,3.4,4.5,-0.46,-1.6
164,659,150.6630633,-34.02195,4.0,7.0,0.26,0.6,3.5,4.7,-0.46,-1.59
165,663,150.6630433,-34.02195,4.7,7.6,0.26,0.61,3.7,4.9,-0.47,-1.63
166,667,150.6630267,-34.021945,5.0,6.9,0.25,0.62,3.4,4.4,-0.48,-1.66
167,671,150.6630183,-34.021935,5.0,7.4,0.24,0.65,3.7,4.8,-0.49,-1.71
168,675,150.663015,-34.021925,5.5,7.7,0.25,0.69,3.5,4.9,-0.48,-1.7
169,679,150.6630167,-34.0219133,5.2,7.7,0.26,0.69,3.6,5.2,-0.48,-1.67
170,683,150.663025,-34.0219033,5.6,8.1,0.28,0.72,3.4,4.6,-0.47,-1.64
171,687,150.6630367,-34.0218967,5.4,8.3,0.29,0.79,3.1,4.6,-0.46,-1.61
172,691,150.6630533,-34.0218967,5.6,8.4,0.32,0.85,2.9,4.3,-0.45,-1.56
173,695,150.66307,-34.0219017,5.6,8.5,0.33,0.91,2.6,4.0,-0.44,-1.55
174,699,150.663085,-34.0219083,5.5,8.2,0.33,0.88,2.4,3.5,-0.45,-1.56
175,703,150.6631,-34.0219133,4.7,7.1,0.29,0.79,2.6,3.6,-0.45,-1.55
176,707,150.6631183,-34.02192,4.3,6.9,0.27,0.67,2.4,3.6,-0.44,-1.59
177,711,150.6631367,-34.021925,3.7,6.7,0.26,0.61,2.4,3.6,-0.45,-1.57
178,715,150.6631567,-34.02193,3.6,6.5,0.26,0.61,2.8,3.8,-0.44,-1.56
179,719,150.6631767,-34.0219333,3.6,6.4,0.27,0.62,2.9,3.9,-0.43,-1.53
180,723,150.6631983,-34.0219383,3.9,6.4,0.27,0.62,3.2,4.1,-0.43,-1.53
181,727,150.6632217,-34.0219433,3.6,6.4,0.27,0.6,3.0,4.1,-0.43,-1.5
182,731,150.663245,-34.0219483,3.9,6.2,0.27,0.63,3.0,4.1,-0.43,-1.53
183,735,150.6632683,-34.0219533,3.5,6.1,0.27,0.65,3.2,3.4,-0.44,-1.55
184,739,150.6632933,-34.0219583,3.6,6.2,0.28,0.62,2.7,3.4,-0.43,-1.52
185,743,150.6633183,-34.0219633,3.6,5.7,0.28,0.62,2.8,3.7,-0.43,-1.48
186,747,150.663345,-34.0219683,3.6,5.5,0.28,0.59,3.1,3.6,-0.44,-1.57
187,751,150.66337,-34.0219733,3.6,6.0,0.29,0.61,2.8,3.3,-0.43,-1.51
188,755,150.6633967,-34.0219783,3.5,5.8,0.29,0.66,3.0,3.3,-0.43,-1.5
189,759,150.6634233,-34.0219833,3.5,5.3,0.28,0.62,2.9,3.4,-0.43,-1.52
190,763,150.6634483,-34.0219883,3.7,5.6,0.28,0.62,3.0,3.7,-0.44,-1.55
191,767,150.663475,-34.021995,3.4,5.2,0.28,0.61,2.7,3.6,-0.45,-1.55
192,771,150.6635017,-34.0220017,3.5,5.6,0.26,0.61,2.6,3.4,-0.44,-1.53
193,775,150.6635283,-34.0220083,3.3,5.1,0.27,0.63,3.2,3.7,-0.44,-1.55
